cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,House,10/30/20,WY-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,7,Challenger experience,0,Bull has never held elected office.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,6,Incumbent's voting record in Congress,.108118,Cheney has voted with Republicans 80% of the time in roll-call votes in recent sessions of Congress.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,5,Fundraising,-16.74473,"As of Oct. 14, Cheney had raised $1,123,000 in individual contributions (92% of all such contributions to the major-party candidates); Bull had raised $103,000 (8%).",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,4,Generic ballot,3.424236,Democrats lead by an average of 7.8 percentage points in polls of the generic congressional ballot.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,3,Incumbent's margin in last election,-8.090528,Cheney won by 33.8 percentage points in 2018.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,2,District partisanship,-12.30577,"Wyoming is 44.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wyoming has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,11,Total,-42.92585,"",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,1,Incumbency,-9.317176,"Cheney has been elected to 2 terms. Congress has only a 20.8% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WY-1 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Hilary Turner,Carol Miller,Turner,Miller,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,7,Challenger experience,0,Turner has never held elected office.,DR,Hilary Turner,Carol Miller,Turner,Miller,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,6,Incumbent's voting record in Congress,-.4255491,Miller has voted with Republicans 75% of the time in roll-call votes in recent sessions of Congress.,DR,Hilary Turner,Carol Miller,Turner,Miller,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,5,Fundraising,-13.95695,"As of Oct. 14, Miller had raised $342,000 in individual contributions (80% of all such contributions to the major-party candidates); Turner had raised $85,000 (20%).",DR,Hilary Turner,Carol Miller,Turner,Miller,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,4,Generic ballot,3.122328,Democrats lead by an average of 7.8 percentage points in polls of the generic congressional ballot.,DR,Hilary Turner,Carol Miller,Turner,Miller,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,3,Incumbent's margin in last election,-4.150074,Miller won by 12.7 percentage points in 2018 in an open-seat race.,DR,Hilary Turner,Carol Miller,Turner,Miller,17:34:24 30 Oct 2020
