cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,House,10/30/20,WY-1,Lynnette Grey Bull,Liz Cheney,4,Expert ratings adjusted for national environment,-37.92574,0,0,1.239421,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,Lynnette Grey Bull,Liz Cheney,3,Fundamentals (non-polling factors),-42.92585,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,Lynnette Grey Bull,Liz Cheney,2,CANTOR (analysis of comparable disticts),-30.13687,.8358126,.1545999,.1545999,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WY-1,Lynnette Grey Bull,Liz Cheney,1,Polls adjusted for house effects & other factors,-29.83558,1.045976,1.045976,1.045976,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,Hilary Turner,Carol Miller,4,Expert ratings adjusted for national environment,-36.25902,0,0,.7177314,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,Hilary Turner,Carol Miller,3,Fundamentals (non-polling factors),-34.02885,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,Hilary Turner,Carol Miller,2,CANTOR (analysis of comparable disticts),-42.46171,.8358126,.1545999,.1545999,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-3,Hilary Turner,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-2,Cathy Kunkel,Alex Mooney,4,Expert ratings adjusted for national environment,-25.2672,0,0,.7177314,40000,17:34:24 30 Oct 2020
2020,House,10/30/20,WV-2,Cathy Kunkel,Alex Mooney,3,Fundamentals (non-polling factors),-21.78513,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
