cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,10/8/2020,10/28/2020,University of Wyoming,614,lv,.6817845,.6817845,31,30.8828,30.93141,"",72334,135714
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,10/1/2020,10/28/2020,SurveyMonkey,739,lv,.3679416,.3558542,31,29.88165,29.92712,T,72242,135582
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/30/2020,10/27/2020,SurveyMonkey,713,lv,.012647,.0121485,32,30.86929,30.91923,T,72088,135215
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/28/2020,10/25/2020,SurveyMonkey,654,lv,.022951,.0212923,31,29.88165,29.9583,T,71978,134981
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,649,lv,.0219554,.0202243,31,29.88165,29.96922,T,71893,134807
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/26/2020,10/23/2020,SurveyMonkey,638,lv,0,0,31,29.88165,29.98126,T,71826,134672
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,616,lv,.010736,.0095369,30,28.8947,29.04995,T,71765,134541
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,605,lv,.0105364,.0092903,31,29.88165,30.04963,T,71682,134342
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/23/2020,10/20/2020,SurveyMonkey,597,lv,.0103922,.0090949,32,30.86929,31.05459,T,71569,134117
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/22/2020,10/19/2020,SurveyMonkey,579,lv,.0100769,.0087527,32,30.86929,31.06929,T,71467,133905
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,558,lv,.0097121,.0083721,33,31.8576,32.07962,T,71382,133721
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,553,lv,.0096283,.0082366,33,31.8576,32.09895,T,71300,133560
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,531,lv,.0092509,.0078529,33,31.8576,32.1185,T,71242,133443
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,499,lv,.0087008,.0073288,34,32.8466,33.12801,T,71181,133316
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/16/2020,10/14/2020,SurveyMonkey,450,lv,.0151684,.0126769,36,34.82658,35.13098,T,71107,133166
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,416,lv,0,0,36,34.82658,35.15212,T,71013,132959
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,409,lv,.0071613,.0058909,35,33.83625,34.18226,T,70975,132805
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,98,lv,.1087986,0,22.22,21.2407,22.14525,"",70447,131301
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,246,lv,.2300757,.0396057,27.69,26.61753,27.59065,"",70397,131199
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,211,lv,.1261845,.0557135,25.07,24.03938,24.91614,"",70347,131097
2020,Wyoming,10/30/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,236,lv,.0553415,.0404335,33.86,32.7081,33.42773,T,70295,130990
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/23/2020,10/26/2020,Swayable,313,lv,.3810264,.3810264,53.7,53.34183,53.36872,"",72310,135650
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/1/2020,10/28/2020,SurveyMonkey,4569,lv,.5723688,.2075111,55,53.29701,53.37922,T,72244,135584
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/21/2020,10/25/2020,Marquette University Law School,749,lv,1.54565,1.22166,48,47.9148,47.92209,"",72151,135295
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,9/30/2020,10/27/2020,SurveyMonkey,4531,lv,.0211766,.0066813,55,53.29701,53.38688,T,72090,135217
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/20/2020,10/25/2020,ABC News/The Washington Post,809,lv,1.741548,1.376495,57,55.63046,55.64652,"",72075,135124
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,9/27/2020,10/25/2020,SurveyMonkey,4466,lv,.0797599,.0116744,55,53.29701,53.4339,T,71980,134983
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/20/2020,10/26/2020,Ipsos,664,lv,.8191184,.6428621,53,53.57777,53.59905,"",71975,134924
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/13/2020,10/21/2020,YouGov,647,lv,.6504093,.266756,53,53.19197,53.23832,"",71948,134867
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,4465,lv,.0289703,.0037225,55,53.29701,53.45058,T,71895,134809
2020,Wisconsin,10/30/2020,Joseph R. Biden Jr.,10/23/2020,10/23/2020,Gravis Marketing,677,lv,.8121232,.7440302,54,53.45102,53.45992,"",71877,134726
