cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,Senate,10/30/20,WY-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,7,Candidate experience,-.4582742,"Lummis's highest previous elected office is U.S. representative, which ranks in our middle tier of elected offices. Ben-David has never held elected office.",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,5,Fundraising,-5.062845,"As of Oct. 14, Lummis had raised $1,465,000 in individual contributions (78% of all such contributions to the major-party candidates); Ben-David had raised $409,000 (22%).",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,4,Generic ballot,6.389024,Democrats lead by an average of 7.8 percentage points in polls of the generic congressional ballot.,DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,2,State partisanship,-40.10978,"Wyoming is 44.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wyoming has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,11,Total,-39.24188,"",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,7,Challenger experience,0,Swearengin has never held elected office.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,6,Incumbent's voting record in Congress,.4507066,Capito has voted with Republicans 84% of the time in roll-call votes in recent sessions of Congress.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,5,Fundraising,-9.820092,"As of Oct. 14, Capito had raised $2,275,000 in individual contributions (59% of all such contributions to the major-party candidates); Swearengin had raised $1,577,000 (41%).",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,4,Generic ballot,2.65397,Democrats lead by an average of 7.8 percentage points in polls of the generic congressional ballot.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,3,Incumbent's margin in last election,-3.615573,"Capito won by 27.7 percentage points in 2014 in an open-seat race. West Virginia has become much more Democratic since the previous election, and Capito's victory margin is adjusted on this basis.",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,2,State partisanship,-6.882167,"West Virginia is 33.2 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,11,Total,-25.17603,"",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,1,Incumbency,-7.962878,"Capito has been elected to 1 term. Congress has only a 20.8% approval rating, reducing the incumbency advantage. The incumbency advantage is largest in small states with distinctive demographic patterns. West Virginia is a small state with somewhat distinctive demographics, so incumbency will help Capito a lot there.",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,7,Challenger experience,0,Gade has never held elected office.,DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,6,Incumbent's voting record in Congress,1.707245,Warner has voted with Democrats 65% of the time in roll-call votes in recent sessions of Congress.,DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,5,Fundraising,3.490393,"As of Oct. 14, Warner had raised $7,855,000 in individual contributions (67% of all such contributions to the major-party candidates); Gade had raised $3,842,000 (33%).",DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,4,Generic ballot,3.83115,Democrats lead by an average of 7.8 percentage points in polls of the generic congressional ballot.,DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,3,Incumbent's margin in last election,1.303574,"Warner won by 0.8 percentage points in 2014. Virginia has become much more Democratic since the previous election, and Warner's victory margin is adjusted on this basis.",DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,2,State partisanship,2.089153,"Virginia is 7.2 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012. Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,11,Total,22.68566,"",DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,1,Incumbency,10.26414,"Warner has been elected to 2 terms. Congress has only a 20.8% approval rating, reducing the incumbency advantage. The incumbency advantage is largest in small states with distinctive demographic patterns. Virginia is a medium-sized state with nationally representative demographics, so the incumbency advantage will be about average there.",DR,Mark Warner,Daniel Gade,Warner,Gade,17:34:24 30 Oct 2020
