cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,Senate,10/30/20,WY-S2,Merav Ben-David,Cynthia Lummis,4,Expert ratings adjusted for national environment,-35.70523,0,0,1.239421,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,Merav Ben-David,Cynthia Lummis,3,Fundamentals (non-polling factors),-39.24187,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,Merav Ben-David,Cynthia Lummis,2,CANTOR (analysis of comparable disticts),-24.61346,.8358126,.1545999,.1545999,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WY-S2,Merav Ben-David,Cynthia Lummis,1,Polls adjusted for house effects & other factors,-29.83558,1.045976,1.045976,1.045976,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,4,Expert ratings adjusted for national environment,-25.47575,0,0,1.121314,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,3,Fundamentals (non-polling factors),-25.17603,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,2,CANTOR (analysis of comparable disticts),-22.13921,.8358126,.1545999,.1545999,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,1,Polls adjusted for house effects & other factors,-19.37813,.8091737,.8091737,.8091737,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,Mark Warner,Daniel Gade,4,Expert ratings adjusted for national environment,21.01463,0,0,4.604316,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,Mark Warner,Daniel Gade,3,Fundamentals (non-polling factors),22.68566,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,Mark Warner,Daniel Gade,2,CANTOR (analysis of comparable disticts),18.98536,0,.1545999,.1545999,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,VA-S2,Mark Warner,Daniel Gade,1,Polls adjusted for house effects & other factors,17.12088,7.792511,7.792511,7.792511,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,TX-S2,M.J. Hegar,John Cornyn,4,Expert ratings adjusted for national environment,-9.77795,0,0,9.034436,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,TX-S2,M.J. Hegar,John Cornyn,3,Fundamentals (non-polling factors),-7.637945,0,1.284435,1.284435,40000,17:34:24 30 Oct 2020
2020,Senate,10/30/20,TX-S2,M.J. Hegar,John Cornyn,2,CANTOR (analysis of comparable disticts),-8.875108,0,.1545999,.1545999,40000,17:34:24 30 Oct 2020
