state_po,rep_vote_share,dem_vote_share,totalvotes,state
NE,0.5847559886061446,0.39348952585164865,951390,Nebraska
PA,0.48789323330342366,0.49969567326776343,6915265,Pennsylvania
IL,0.40555948801440406,0.5746394109230324,6002747,Illinois
NJ,0.4122541693381221,0.5711117634418336,4551202,New Jersey
NM,0.4349936563334907,0.5428641329528577,923756,New Mexico
OR,0.40518168338684546,0.5642876935543575,2385441,Oregon
DE,0.39801392829507354,0.5878216702049562,504010,Delaware
MA,0.32387169585730435,0.6534319248072387,3549597,Massachusetts
LA,0.5846088241400853,0.39851456801526214,2148062,Louisiana
AR,0.6239379835793475,0.34781412484919266,1217613,Arkansas
SC,0.5511029395674024,0.43430088142061785,2513329,South Carolina
IN,0.5698174155082159,0.4091393725651447,3035088,Indiana
OK,0.6537327184806295,0.32286174335986634,1560699,Oklahoma
KY,0.6208657186929044,0.3615151481115404,2136768,Kentucky
IA,0.5315771392694469,0.4494915033376572,1688310,Iowa
NV,0.4766624732455941,0.5005678195728402,1405376,Nevada
CT,0.3921749251709478,0.592152347675888,1824826,Connecticut
MD,0.32427572094635354,0.6566732320859037,3000570,Maryland
HI,0.3426886394217965,0.6373363923901899,574469,Hawaii
WY,0.6993622748541181,0.26553574332014523,276765,Wyoming
MN,0.45394296462088385,0.5251548930035965,3268708,Minnesota
CO,0.41897443205200813,0.554017557157195,3256108,Colorado
WV,0.6862858912823405,0.296960226843481,794204,West Virginia
DC,0.054459035848502466,0.9208318099268166,333682,District of Columbia
TN,0.6065950180914074,0.37362543670893134,3049514,Tennessee
CA,0.34240472547291617,0.6359576775484271,17322626,California
VA,0.44041235910428134,0.5416099867379065,4456310,Virginia
OH,0.5316815974063275,0.4518774323695376,5925806,Ohio
MT,0.5672340074288073,0.4041040033016921,605750,Montana
AL,0.6208749296506342,0.3651556344430495,2309900,Alabama
ME,0.43500111823846943,0.5344519106629121,786952,Maine
NC,0.4993426926848022,0.4858629604296109,5524813,North Carolina
ID,0.6383075780003571,0.33062935935169135,868105,Idaho
TX,0.520292939848002,0.4645948595911166,11323963,Texas
AK,0.5309953026379219,0.43036076637630466,356796,Alaska
GA,0.49250865148124484,0.4950433784409369,4998566,Georgia
MI,0.47795873885437173,0.505769735116706,5544102,Michigan
MS,0.5753558285940209,0.4101867339801101,1315240,Mississippi
KS,0.5646054574205781,0.41309046487750406,1334330,Kansas
MO,0.5672422578532713,0.41357859776964884,3028133,Missouri
ND,0.6511404873707572,0.31756762359080093,361819,North Dakota
AZ,0.4907743857146443,0.4938628318780098,3385845,Arizona
FL,0.5121981962250404,0.47861450725442234,11067456,Florida
WA,0.39013740504729866,0.5837427058163959,4052544,Washington
NY,0.4184902134984785,0.5666308319332151,7073212,New York
VT,0.3067376465593259,0.6608641693066397,367428,Vermont
WI,0.488304238993108,0.4945409066565093,3297434,Wisconsin
SD,0.6176938967225024,0.3560525213613529,422609,South Dakota
NH,0.45455042701042975,0.5282261974317218,804430,New Hampshire
RI,0.3890755877118859,0.5961659027807524,513602,Rhode Island
UT,0.5815300975468106,0.3766105440896527,1487696,Utah
