state_po,samples,battleground
AK,44099.0,False
AL,114025.0,False
AR,70148.0,False
CA,937467.0,False
CT,120391.0,False
DC,29852.0,False
DE,41168.0,False
HI,41387.0,False
IA,116744.0,False
ID,59196.0,False
IL,322364.0,False
IN,160904.0,False
KS,113201.0,False
KY,127266.0,False
LA,108061.0,False
MA,194135.0,False
MD,188497.0,False
MO,165764.0,False
MS,63501.0,False
MT,55439.0,False
ND,21602.0,False
NE,68984.0,False
NJ,217883.0,False
NY,421152.0,False
OK,97455.0,False
OR,167640.0,False
RI,27828.0,False
SC,163465.0,False
SD,33181.0,False
TN,168438.0,False
TX,658152.0,False
UT,95274.0,False
VT,34436.0,False
WA,323578.0,False
WV,44047.0,False
WY,22260.0,False
AZ,302069.0,True
CO,213534.0,True
FL,707018.0,True
GA,279859.0,True
ME,80411.0,True
MI,320994.0,True
MN,204845.0,True
NC,346574.0,True
NH,64111.0,True
NM,89133.0,True
NV,109221.0,True
OH,309333.0,True
PA,436238.0,True
VA,248938.0,True
WI,329514.0,True
