state_po,samples,battleground
AK,60.282005891640296,False
AL,23.255292223320147,False
AR,23.244717019395562,False
CA,23.725999926655607,False
CT,33.767548026287926,False
DC,42.29832419174522,False
DE,42.27718420479705,False
HI,29.23074967228676,False
IA,37.00203165064484,False
ID,33.12470447353622,False
IL,25.439437630945072,False
IN,23.900589092541406,False
KS,38.85643634706042,False
KY,28.485970213128848,False
LA,23.244953422328457,False
MA,28.16611033756532,False
MD,31.178792129255932,False
MO,27.0087078821943,False
MS,21.33663334732233,False
MT,51.8713895682733,False
ND,28.34677493432293,False
NE,35.66155640381967,False
NJ,24.530324165549263,False
NY,21.649095504930948,False
OK,24.628686942613427,False
OR,39.74643274343564,False
RI,26.26866573339966,False
SC,31.748704627990602,False
SD,37.50710725827692,False
TN,24.664476260232934,False
TX,22.698120467524337,False
UT,29.71779418195747,False
VT,55.18687028136714,False
WA,42.49278354928953,False
WV,24.577782960884345,False
WY,38.461604916727,False
AZ,41.500308364784615,True
CO,37.080012002633914,True
FL,32.9186450136716,True
GA,26.35846758672043,True
ME,59.820177174433795,True
MI,32.14164376239692,True
MN,36.32240543354602,True
NC,33.04454846090096,True
NH,47.15046064935858,True
NM,42.508473509284734,True
NV,35.45956763228875,True
OH,26.463371859253492,True
PA,34.075798690344136,True
VA,29.164951773875732,True
WI,56.59385748297018,True
