state_po,samples,battleground
AK,816.6481481481482,False
AL,2151.4150943396226,False
AR,1461.4166666666667,False
CA,16740.48214285714,False
CT,2456.9591836734694,False
DC,648.9565217391304,False
DE,875.9148936170212,False
HI,862.2291666666666,False
IA,1621.4444444444443,False
ID,1259.4893617021276,False
IL,6858.808510638298,False
IN,3218.08,False
KS,2058.2,False
KY,2194.2413793103447,False
LA,2251.2708333333335,False
MA,3595.0925925925926,False
MD,3696.0196078431372,False
MO,2960.0714285714284,False
MS,1270.02,False
MT,955.8448275862069,False
ND,450.0416666666667,False
NE,1301.5849056603774,False
NJ,3692.9322033898306,False
NY,8423.04,False
OK,1988.8775510204082,False
OR,3492.5,False
RI,604.9565217391304,False
SC,2594.6825396825398,False
SD,705.9787234042553,False
TN,3509.125,False
TX,7232.43956043956,False
UT,1797.622641509434,False
VT,717.4166666666666,False
WA,6222.653846153846,False
WV,917.6458333333334,False
WY,483.9130434782609,False
AZ,2475.9754098360654,True
CO,3336.46875,True
FL,5050.128571428571,True
GA,3009.2365591397847,True
ME,968.8072289156627,True
MI,2431.7727272727275,True
MN,2560.5625,True
NC,2586.373134328358,True
NH,1165.6545454545455,True
NM,1782.66,True
NV,2022.611111111111,True
OH,3915.6075949367087,True
PA,2967.605442176871,True
VA,4292.0344827586205,True
WI,1334.0647773279352,True
