state_po,samples,battleground
AK,54,False
AL,53,False
AR,48,False
CA,56,False
CT,49,False
DC,46,False
DE,47,False
HI,48,False
IA,72,False
ID,47,False
IL,47,False
IN,50,False
KS,55,False
KY,58,False
LA,48,False
MA,54,False
MD,51,False
MO,56,False
MS,50,False
MT,58,False
ND,48,False
NE,53,False
NJ,59,False
NY,50,False
OK,49,False
OR,48,False
RI,46,False
SC,63,False
SD,47,False
TN,48,False
TX,91,False
UT,53,False
VT,48,False
WA,52,False
WV,48,False
WY,46,False
AZ,122,True
CO,64,True
FL,140,True
GA,93,True
ME,83,True
MI,132,True
MN,80,True
NC,134,True
NH,55,True
NM,50,True
NV,54,True
OH,79,True
PA,147,True
VA,58,True
WI,247,True
