state_po,abs_error,error,squared_error,battleground
AK,0.049095876989714016,-0.049095876989714016,0.00241040513738913,False
AL,0.11486721714764375,-0.11486721714764375,0.013194477575243942,False
AR,0.13473861923386893,-0.13473861923386893,0.018154495513049512,False
CA,0.10789794379420381,0.10789794379420381,0.011641966275017164,False
CT,0.07788213569532965,0.07788213569532965,0.006065627060465741,False
DC,0.42075647936440197,0.42075647936440197,0.17703601492712642,False
DE,0.08574036625977088,0.08574036625977088,0.007351410406359658,False
HI,0.13902677552395049,0.13902677552395049,0.01932844431258692,False
IA,0.03973148491283868,-0.03973148491283868,0.0015785908933791273,False
ID,0.15331230521188105,-0.15331230521188105,0.02350466292938097,False
IL,0.06708405050249744,0.06708405050249744,0.004500269831821627,False
IN,0.07193101918771888,-0.07193101918771888,0.005174071521383982,False
KS,0.07253504328010885,-0.07253504328010885,0.005261332503647263,False
KY,0.10480241766638287,-0.10480241766638287,0.01098354674871896,False
LA,0.08471875151366554,-0.08471875151366554,0.007177266858034207,False
MA,0.12528938268862666,0.12528938268862666,0.01569742941449714,False
MD,0.14728933640377917,0.14728933640377917,0.021694148618265626,False
MO,0.07283680961890293,-0.07283680961890293,0.005305200835460311,False
MS,0.0741876831029058,-0.0741876831029058,0.005503812324177175,False
MT,0.07035338553402548,-0.07035338553402548,0.004949598856099226,False
ND,0.16169342967791828,-0.16169342967791828,0.0261447652010079,False
NE,0.09598806355743122,-0.09598806355743122,0.009213708345505457,False
NJ,0.04654496088170801,0.04654496088170801,0.0021664333834797286,False
NY,0.029904924613475825,0.029904924613475825,0.0008943045161376723,False
OK,0.15727023360717068,-0.15727023360717068,0.024733926378854038,False
OR,0.07263236772073145,0.07263236772073145,0.005275460840719552,False
RI,0.09890592080988414,0.09890592080988414,0.009782381171251072,False
SC,0.053127951804096296,-0.053127951804096296,0.002822579262898379,False
SD,0.12724985406809242,-0.12724985406809242,0.016192525360350814,False
TN,0.10230716985681548,-0.10230716985681548,0.010466757004111295,False
TX,0.027334857405154178,-0.027334857405154178,0.0007471944293601122,False
UT,0.09327808873074661,-0.09327808873074661,0.008700801837261038,False
VT,0.16680609759554088,0.16680609759554088,0.02782427419505311,False
WA,0.06805861965245741,0.06805861965245741,0.004631975708997862,False
WV,0.18398108475551195,-0.18398108475551195,0.033849039547814874,False
WY,0.20881180123487103,-0.20881180123487103,0.043602368334951284,False
AZ,0.007205687404857608,-0.007205687404857608,5.1921930976523574e-05,True
CO,0.04645069960503723,0.04645069960503723,0.0021576674937974056,True
FL,0.03460567648688817,-0.03460567648688817,0.0011975528451151649,True
GA,0.0010387540239917836,-0.0010387540239917836,1.079009922359123e-06,True
ME,0.03795590433642149,0.03795590433642149,0.0014406506739955793,True
MI,0.019905917346760837,-0.019905917346760837,0.000396245545416074,True
MN,0.015306660382567672,0.015306660382567672,0.0002342938520672667,True
NC,0.013305135508661914,-0.013305135508661914,0.00017702663090385612,True
NH,0.02733371218877767,0.02733371218877767,0.000747131822018933,True
NM,0.051735694235839125,0.051735694235839125,0.0026765820580642377,True
NV,0.011322931355669974,0.011322931355669974,0.00012820877448521429,True
OH,0.03964911516631481,-0.03964911516631481,0.001572052333471695,True
PA,0.016291098639469648,-0.016291098639469648,0.0002653998948809298,True
VA,0.03215814868334432,0.03215814868334432,0.0010341465267400803,True
WI,0.027413353167273113,-0.027413353167273113,0.0007514919318736429,True
