state_po,abs_error,error,squared_error,battleground
AK,0.00608227914621795,-0.00608227914621795,3.699411961251776e-05,False
AL,0.0345370184854179,-0.0345370184854179,0.0011928056458620979,False
AR,0.04472292379441778,-0.04472292379441778,0.0020001399127213,False
CA,0.017873923901806865,0.017873923901806865,0.00031947715564758274,False
CT,0.021449184558963608,-0.021449184558963608,0.00046006751824448285,False
DC,0.01476829107793054,0.01476829107793054,0.0002181024213624828,False
DE,0.019910246140096288,-0.019910246140096288,0.0003964179013592191,False
HI,0.013812089466925803,-0.013812089466925803,0.0001907738154423627,False
IA,0.03953619153391191,-0.03953619153391191,0.001563110441006168,False
ID,0.059632729932790784,-0.059632729932790784,0.003556062479237162,False
IL,0.005081746259058995,-0.005081746259058995,2.5824145041460086e-05,False
IN,0.030124774474087568,-0.030124774474087568,0.0009075020371146379,False
KS,0.03188949797526108,-0.03188949797526108,0.0010169400811141807,False
KY,0.041489148163184164,-0.041489148163184164,0.0017213494153066479,False
LA,0.019824076470994323,0.019824076470994323,0.0003929940079278307,False
MA,0.031549299430382205,-0.031549299430382205,0.000995358294547915,False
MD,0.014346574957321612,-0.014346574957321612,0.0002058242130060476,False
MO,0.025748007624376734,-0.025748007624376734,0.0006629598966249624,False
MS,0.013587138289389511,0.013587138289389511,0.00018461032689499454,False
MT,0.05638691413956648,-0.05638691413956648,0.0031794840861828423,False
ND,0.07932318111102099,-0.07932318111102099,0.0062921670615718375,False
NE,0.04779970926671595,-0.04779970926671595,0.0022848122059825706,False
NJ,0.03564987134242559,-0.03564987134242559,0.0012709133267314971,False
NY,0.07139536870267327,-0.07139536870267327,0.005097298672190657,False
OK,0.03946413811938593,-0.03946413811938593,0.0015574181975059693,False
OR,0.021865719795317817,-0.021865719795317817,0.00047810970216735345,False
RI,0.04172590554595024,-0.04172590554595024,0.0017410511936295607,False
SC,0.018304884216220896,-0.018304884216220896,0.0003350687861692529,False
SD,0.02134166348244293,-0.02134166348244293,0.00045546660019783806,False
TN,0.06630084247674928,-0.06630084247674928,0.004395801713126721,False
TX,0.021495452981906915,-0.021495452981906915,0.0004620544988973709,False
UT,0.049374540916494625,-0.049374540916494625,0.002437845290714602,False
VT,0.02680728888420647,-0.02680728888420647,0.0007186307373212998,False
WA,0.035971631816216876,-0.035971631816216876,0.0012939582955214662,False
WV,0.024482726309089653,-0.024482726309089653,0.0005994038875257907,False
WY,0.05805925545451829,-0.05805925545451829,0.0033708771439330118,False
AZ,0.009658544987157236,-0.009658544987157236,9.328749126894018e-05,True
CO,0.0047005504064655534,-0.0047005504064655534,2.209517412372348e-05,True
FL,0.028782233376114963,-0.028782233376114963,0.0008284169581171462,True
GA,0.004920796434101593,-0.004920796434101593,2.4214237545866955e-05,True
ME,0.01340206421374579,-0.01340206421374579,0.00017961532518936556,True
MI,0.017522064081752164,-0.017522064081752164,0.0003070227296850293,True
MN,0.019523645962603586,-0.019523645962603586,0.0003811727516730873,True
NC,0.012614549767626604,-0.012614549767626604,0.0001591268658399284,True
NH,0.0018361417564228821,0.0018361417564228821,3.3714165496797065e-06,True
NM,0.004262727633688179,-0.004262727633688179,1.8170846879008825e-05,True
NV,0.001966543311463842,0.001966543311463842,3.867292595863174e-06,True
OH,0.03399871215834849,-0.03399871215834849,0.0011559124284262333,True
PA,0.02380533731539547,-0.02380533731539547,0.00056669408469976,True
VA,0.02704261004807451,-0.02704261004807451,0.0007313027582122205,True
WI,0.04082102563565959,-0.04082102563565959,0.0016663561339471775,True
