model,end_date,battleground,error
ewma_04_lw,2020-10-31,False,-0.030017051019066314
ewma_04_lw,2020-09-14,False,-0.021675029901905632
ewma_04_lw,2020-07-26,False,-0.023349439744078434
ewma_04,2020-10-31,False,-0.029268071458599703
ewma_04,2020-09-14,False,-0.018498007020779663
ewma_04,2020-07-26,False,-0.024065335147985287
ewma_03_lw,2020-10-31,False,-0.030769927029539252
ewma_03_lw,2020-09-14,False,-0.022196106544937255
ewma_03_lw,2020-07-26,False,-0.021694972766819434
ewma_03,2020-10-31,False,-0.029711316021199877
ewma_03,2020-09-14,False,-0.019579537955411112
ewma_03,2020-07-26,False,-0.02254316228600973
ewma_02_lw,2020-10-31,False,-0.03187739897801717
ewma_02_lw,2020-09-14,False,-0.02193740588092541
ewma_02_lw,2020-07-26,False,-0.01949822881074398
ewma_02,2020-10-31,False,-0.03077219709276137
ewma_02,2020-09-14,False,-0.02024518532612086
ewma_02,2020-07-26,False,-0.020276036935689256
ewma_01_lw,2020-10-31,False,-0.03265528448762029
ewma_01_lw,2020-09-14,False,-0.01969633669366889
ewma_01_lw,2020-07-26,False,-0.016675938516419644
ewma_01,2020-10-31,False,-0.03284600359247974
ewma_01,2020-09-14,False,-0.019112654860753392
ewma_01,2020-07-26,False,-0.01713561545184976
ewma_1,2020-10-31,False,-0.029363445691776686
ewma_1,2020-09-14,False,-0.015473664550150232
ewma_1,2020-07-26,False,-0.025214744270705566
