year,state_po,state_fips,district,office,d_prob
1976,AL,1,1,house,0.374791626900808
1976,AL,1,2,house,0.4239393202952124
1976,AL,1,3,house,0.989699022656597
1976,AL,1,4,house,0.8038199770483235
1976,AL,1,5,house,0.9999383585769636
1976,AL,1,6,house,0.4269311707010915
1976,AL,1,7,house,0.99995475154071
1976,AK,2,0,house,0.28926976177585273
1976,AZ,4,1,house,0.4068784610900612
1976,AZ,4,2,house,0.5823047527013968
1976,AZ,4,3,house,0.4747361953356664
1976,AZ,4,4,house,0.4824625502374863
1976,AR,5,1,house,0.6885627614319062
1976,AR,5,2,house,0.8638064042671248
1976,AR,5,4,house,1.0
1976,CA,6,1,house,0.7394708224278395
1976,CA,6,2,house,0.4101762535613193
1976,CA,6,3,house,0.7285696414982226
1976,CA,6,4,house,0.5021551010679502
1976,CA,6,5,house,0.6184412890303659
1976,CA,6,6,house,0.660675547679428
1976,CA,6,7,house,0.7472156735224779
1976,CA,6,8,house,0.6211704255816078
1976,CA,6,9,house,0.7080557938086635
1976,CA,6,10,house,0.7204698828509486
1976,CA,6,11,house,0.6107926490118847
1976,CA,6,12,house,0.3125415911042025
1976,CA,6,13,house,0.6677376845284807
1976,CA,6,14,house,0.7253808271406633
1976,CA,6,15,house,0.7220383851753805
1976,CA,6,16,house,0.5341968779540636
1976,CA,6,17,house,0.6568838197359771
1976,CA,6,18,house,0.3579805609412597
1976,CA,6,19,house,0.3562146555879807
1976,CA,6,20,house,0.3275485274969979
1976,CA,6,21,house,0.6651274582160421
1976,CA,6,22,house,0.37391441913240814
1976,CA,6,23,house,0.6017838960991094
1976,CA,6,24,house,0.6778074029566763
1976,CA,6,25,house,0.7189581395348837
1976,CA,6,26,house,0.3441401882221394
1976,CA,6,27,house,0.4531632404787917
1976,CA,6,28,house,0.8019592065213589
1976,CA,6,29,house,0.8541748618041034
1976,CA,6,30,house,0.7438393097870046
1976,CA,6,31,house,1.0
1976,CA,6,32,house,0.7222431490724174
1976,CA,6,33,house,0.4492191333968419
1976,CA,6,34,house,0.5071333517463028
1976,CA,6,35,house,0.5325961872172531
1976,CA,6,36,house,0.6155629049310093
1976,CA,6,37,house,0.2607402915848878
1976,CA,6,38,house,0.6361531688514799
1976,CA,6,39,house,0.4142510577740423
1976,CA,6,40,house,0.4074783358069613
1976,CA,6,41,house,0.4234602057535792
1976,CA,6,42,house,0.7598929416709063
1976,CA,6,43,house,0.3500267739120992
1976,CO,8,1,house,0.5321884200196271
1976,CO,8,2,house,0.5049983768801138
1976,CO,8,3,house,0.5096215303140978
1976,CO,8,4,house,0.34836529151471823
1976,CO,8,5,house,0.33569119365368794
1976,CT,9,1,house,0.5708249657893334
1976,CT,9,2,house,0.6506101008627136
1976,CT,9,3,house,0.5462691393845753
1976,CT,9,4,house,0.3705338600778526
1976,CT,9,5,house,0.32745555663801906
1976,CT,9,6,house,0.5661519093579521
1976,DE,10,0,house,0.4761419903758979
1976,FL,12,1,house,1.0
1976,FL,12,2,house,1.0
1976,FL,12,3,house,1.0
1976,FL,12,4,house,1.0
1976,FL,12,5,house,0.4102612186795436
1976,FL,12,6,house,0.3480393423421096
1976,FL,12,7,house,0.6571594877764843
1976,FL,12,8,house,0.5801722105594037
1976,FL,12,9,house,0.2191589036670077
1976,FL,12,10,house,0.3367691351146209
1976,FL,12,11,house,0.911159739421435
1976,FL,12,12,house,0.4608742389841066
1976,FL,12,13,house,0.7833238345620454
1976,FL,12,14,house,0.7287176367915796
1976,FL,12,15,house,0.7042320577357417
1976,GA,13,1,house,0.9991608921611088
1976,GA,13,2,house,0.9977193676712556
1976,GA,13,3,house,0.8873376252333245
1976,GA,13,4,house,0.6831028671969865
1976,GA,13,5,house,0.6667638463727674
1976,GA,13,6,house,0.5170730406018247
1976,GA,13,7,house,0.5508615861521028
1976,GA,13,8,house,0.6956124314442413
1976,GA,13,9,house,0.7899509615854127
1976,GA,13,10,house,0.9991356046550852
1976,HI,15,1,house,0.4364035406462116
1976,HI,15,2,house,0.7951107950723579
1976,ID,16,1,house,0.4539274623208638
1976,ID,16,2,house,0.4941771026127924
1976,IL,17,1,house,0.9230208538336504
1976,IL,17,2,house,0.8467555792064391
1976,IL,17,3,house,0.5886537824968808
1976,IL,17,4,house,0.34211580212043924
1976,IL,17,5,house,0.7694529698501534
1976,IL,17,6,house,0.3940247802893874
1976,IL,17,7,house,0.8476857455761139
1976,IL,17,8,house,0.8054108476282731
1976,IL,17,9,house,0.7214631057562003
1976,IL,17,10,house,0.5004545156362751
1976,IL,17,11,house,0.6739227561556791
1976,IL,17,12,house,0.27160481987792073
1976,IL,17,13,house,0.3030267979983685
1976,IL,17,14,house,0.2557399360914332
1976,IL,17,15,house,0.4608922835920538
1976,IL,17,16,house,0.32081412480395416
1976,IL,17,17,house,0.4178735883518123
1976,IL,17,18,house,0.4227114839950836
1976,IL,17,19,house,0.31501144472173565
1976,IL,17,20,house,0.3642874680923017
1976,IL,17,21,house,0.25536446871519003
1976,IL,17,22,house,0.6143307543428329
1976,IL,17,23,house,0.7862683965680197
1976,IL,17,24,house,0.673760559019946
1976,IN,18,1,house,0.7130497731165141
1976,IN,18,2,house,0.5474504875607996
1976,IN,18,3,house,0.5689966512179169
1976,IN,18,4,house,0.44585559810881853
1976,IN,18,5,house,0.3825563953573041
1976,IN,18,6,house,0.5491078613070857
1976,IN,18,7,house,0.373046875
1976,IN,18,8,house,0.5046290724264672
1976,IN,18,9,house,1.0
1976,IN,18,10,house,0.5983786804840976
1976,IN,18,11,house,0.6040634007265753
1976,IA,19,1,house,0.4783242741614742
1976,IA,19,2,house,0.5034465900757761
1976,IA,19,3,house,0.4354449645349338
1976,IA,19,4,house,0.6909382190191865
1976,IA,19,5,house,0.6486424430285288
1976,IA,19,6,house,0.6742709669599297
1976,KS,20,1,house,0.26933542809027994
1976,KS,20,2,house,0.5069455167247128
1976,KS,20,3,house,0.2897172879659745
1976,KS,20,4,house,0.5026957938917664
1976,KS,20,5,house,0.3617439446366782
1976,KY,21,1,house,0.8199882746491016
1976,KY,21,2,house,0.6035441490986863
1976,KY,21,3,house,0.5719320184164156
1976,KY,21,4,house,0.44130726295400624
1976,KY,21,5,house,0.3264904667282503
1976,KY,21,6,house,0.9399127397842332
1976,KY,21,7,house,0.732276521404751
1976,LA,22,1,house,0.4722192435545888
1976,LA,22,2,house,0.9256250875284132
1976,LA,22,3,house,0.2668762553488778
1976,LA,22,4,house,1.0
1976,LA,22,5,house,0.5254975827211653
1976,LA,22,6,house,0.347809035766576
1976,LA,22,7,house,0.8334826825972548
1976,LA,22,8,house,0.9421510313710544
1976,ME,23,1,house,0.4262344851514817
1976,ME,23,2,house,0.19654105954533652
1976,MD,24,1,house,0.4593296919049537
1976,MD,24,2,house,0.7090874821067431
1976,MD,24,3,house,0.7459448909459714
1976,MD,24,4,house,0.4233302830686067
1976,MD,24,5,house,0.5770203049824676
1976,MD,24,6,house,0.7083696453710532
1976,MD,24,7,house,0.9439348921327994
1976,MD,24,8,house,0.42222661707033815
1976,MA,25,1,house,0.36216704498077545
1976,MA,25,2,house,0.7235767543269359
1976,MA,25,3,house,0.9997152484457312
1976,MA,25,4,house,0.5207329568470465
1976,MA,25,5,house,0.6730840135721053
1976,MA,25,6,house,0.5480382123680758
1976,MA,25,7,house,0.7690658368475729
1976,MA,25,8,house,0.7443723790886217
1976,MA,25,9,house,0.6955901747996599
1976,MA,25,11,house,0.6897961320038732
1976,MA,25,12,house,0.99961349009456
1976,MI,26,1,house,0.9237015126444188
1976,MI,26,2,house,0.4957441925961468
1976,MI,26,3,house,0.4856340297107434
1976,MI,26,4,house,0.3875384589706071
1976,MI,26,5,house,0.4622951936837391
1976,MI,26,6,house,0.5273941424863441
1976,MI,26,7,house,0.6997330810555124
1976,MI,26,8,house,0.5900756569077115
1976,MI,26,9,house,0.2939470961034997
1976,MI,26,10,house,0.4281010923762037
1976,MI,26,11,house,0.4482647444902471
1976,MI,26,12,house,0.5242249829985569
1976,MI,26,13,house,0.8900594532859415
1976,MI,26,14,house,0.6649697524525874
1976,MI,26,15,house,0.7399116997792494
1976,MI,26,16,house,0.7588809060519882
1976,MI,26,17,house,0.6421602410393398
1976,MI,26,18,house,0.6612046510378904
1976,MI,26,19,house,0.32551797414556394
1976,MN,27,1,house,0.3047378253722392
1976,MN,27,2,house,0.3965989992270453
1976,MN,27,3,house,0.3195436864352277
1976,MN,27,4,house,0.6644200619145659
1976,MN,27,5,house,0.7066248798543937
1976,MN,27,6,house,0.5979011625079039
1976,MN,27,7,house,0.7204492875382305
1976,MN,27,8,house,1.0
1976,MS,28,1,house,1.0
1976,MS,28,2,house,0.6301091690231848
1976,MS,28,3,house,0.9394435590099628
1976,MS,28,4,house,0.2160822912828688
1976,MS,28,5,house,0.3178799305836454
1976,MO,29,1,house,0.6555592263334935
1976,MO,29,2,house,0.5108916150362444
1976,MO,29,3,house,0.6369043666865857
1976,MO,29,4,house,0.5586577375216805
1976,MO,29,5,house,0.6802066054402502
1976,MO,29,6,house,0.4052772414727501
1976,MO,29,7,house,0.3797980547924865
1976,MO,29,8,house,0.6732164741897919
1976,MO,29,9,house,0.5592843762927568
1976,MO,29,10,house,0.7207209672740409
1976,MT,30,1,house,0.6644674104801411
1976,MT,30,2,house,0.4504411543811757
1976,NE,31,1,house,0.26813569816445965
1976,NE,31,2,house,0.5457373892953408
1976,NE,31,3,house,0.2467148695378812
1976,NV,32,0,house,0.7705077978415215
1976,NH,33,1,house,0.6812729869440477
1976,NH,33,2,house,0.3946659628201053
1976,NJ,34,1,house,0.7010025757062669
1976,NJ,34,2,house,0.6172083180939443
1976,NJ,34,3,house,0.6211029652386697
1976,NJ,34,4,house,0.6629737575204251
1976,NJ,34,5,house,0.31342124926008946
1976,NJ,34,6,house,0.3968801328953263
1976,NJ,34,7,house,0.5654515599343185
1976,NJ,34,8,house,0.7058613712417962
1976,NJ,34,9,house,0.4434181394061598
1976,NJ,34,10,house,0.8264575040974009
1976,NJ,34,11,house,0.6762085447151063
1976,NJ,34,12,house,0.262646703901069
1976,NJ,34,13,house,0.5036617858800005
1976,NJ,34,14,house,0.498569170391366
1976,NJ,34,15,house,0.5903712271180409
1976,NM,35,1,house,0.2740017557394057
1976,NM,35,2,house,0.7032852573223901
1976,NY,36,1,house,0.6255374322787128
1976,NY,36,2,house,0.5639204012457629
1976,NY,36,3,house,0.5195410027612586
1976,NY,36,4,house,0.4173468260107668
1976,NY,36,5,house,0.4181018392404936
1976,NY,36,6,house,0.5736505685721667
1976,NY,36,7,house,0.724220052393427
1976,NY,36,8,house,0.7177809532790275
1976,NY,36,9,house,0.4637180433178523
1976,NY,36,10,house,0.5951863541504976
1976,NY,36,11,house,0.7406210138216638
1976,NY,36,12,house,0.8320639909735654
1976,NY,36,13,house,0.7764248547918683
1976,NY,36,14,house,0.7917854583708129
1976,NY,36,15,house,0.5420734881766786
1976,NY,36,16,house,0.7670034738753989
1976,NY,36,17,house,0.6557480778427693
1976,NY,36,18,house,0.66130154863407
1976,NY,36,19,house,0.8239646066404885
1976,NY,36,20,house,0.7466829577337316
1976,NY,36,21,house,0.8878065086073108
1976,NY,36,22,house,0.8103891474031822
1976,NY,36,23,house,0.43292971227584615
1976,NY,36,24,house,0.5451063318252355
1976,NY,36,25,house,0.29460792996128643
1976,NY,36,26,house,0.32889809273783704
1976,NY,36,27,house,0.6385925716143784
1976,NY,36,28,house,0.7902603619598256
1976,NY,36,29,house,0.4451503580397905
1976,NY,36,30,house,0.4428242427775996
1976,NY,36,31,house,0.3349912245173485
1976,NY,36,32,house,0.5477962622879983
1976,NY,36,33,house,0.2673251073842029
1976,NY,36,34,house,0.3030604174904785
1976,NY,36,35,house,0.3256046616821435
1976,NY,36,36,house,0.6421569422591337
1976,NY,36,37,house,0.7471922845464279
1976,NY,36,38,house,0.20769872977090595
1976,NY,36,39,house,0.617884991348509
1976,NC,37,1,house,0.7588029794699744
1976,NC,37,2,house,1.0
1976,NC,37,3,house,0.6874922071213552
1976,NC,37,4,house,0.6060217514235742
1976,NC,37,5,house,0.542308030126699
1976,NC,37,6,house,0.9632690541781452
1976,NC,37,7,house,0.8130184469161458
1976,NC,37,8,house,0.657236846459846
1976,NC,37,9,house,0.4606796369027492
1976,NC,37,10,house,0.40216194215667495
1976,NC,37,11,house,0.5089720994550039
1976,ND,38,0,house,0.3596751770554124
1976,OH,39,1,house,0.3362219495504849
1976,OH,39,2,house,0.5137470358955237
1976,OH,39,3,house,0.2330059020182426
1976,OH,39,4,house,0.2994038980787132
1976,OH,39,5,house,0.3255909380500394
1976,OH,39,6,house,0.38515255755724137
1976,OH,39,7,house,0.3514847671746415
1976,OH,39,8,house,0.28770986074356864
1976,OH,39,9,house,0.5420047746905678
1976,OH,39,10,house,0.31236209059836456
1976,OH,39,11,house,0.2825797556221176
1976,OH,39,12,house,0.4566176470588235
1976,OH,39,13,house,0.6601846251596073
1976,OH,39,14,house,0.7409311277316247
1976,OH,39,15,house,0.3449880803723465
1976,OH,39,16,house,0.3197810340569013
1976,OH,39,17,house,0.43203505705152
1976,OH,39,18,house,0.6290614204074604
1976,OH,39,19,house,0.5024375330053642
1976,OH,39,20,house,0.8098724339214272
1976,OH,39,21,house,0.8383321474832612
1976,OH,39,22,house,0.7273246832613751
1976,OH,39,23,house,0.732010315057742
1976,OK,40,1,house,0.5396858493188769
1976,OK,40,2,house,0.5396878936245343
1976,OK,40,3,house,0.8196082680898329
1976,OK,40,4,house,0.7494029879567705
1976,OK,40,5,house,0.4738216576658807
1976,OK,40,6,house,0.710763966068927
1976,OR,41,1,house,0.5865303030303031
1976,OR,41,2,house,0.7198549598979901
1976,OR,41,3,house,0.8387583238727824
1976,OR,41,4,house,0.5002001208893536
1976,PA,42,1,house,0.7354480072862033
1976,PA,42,2,house,0.7354605038528744
1976,PA,42,3,house,0.7315566170689374
1976,PA,42,4,house,0.6751945570623049
1976,PA,42,5,house,0.4045108741622343
1976,PA,42,6,house,0.7382623012408976
1976,PA,42,7,house,0.5408226299845318
1976,PA,42,8,house,0.4949557806806136
1976,PA,42,9,house,1.0
1976,PA,42,10,house,0.3743573345058283
1976,PA,42,11,house,0.7082580687283727
1976,PA,42,12,house,0.6768438558397286
1976,PA,42,13,house,0.365940622877656
1976,PA,42,14,house,0.7170454260730125
1976,PA,42,15,house,0.6521900653124812
1976,PA,42,16,house,0.36966539899651657
1976,PA,42,17,house,0.5072175387368718
1976,PA,42,18,house,0.5945574534567172
1976,PA,42,19,house,0.29403131115459885
1976,PA,42,20,house,0.7495543028519064
1976,PA,42,21,house,0.5940463567033902
1976,PA,42,22,house,0.5531764491266475
1976,PA,42,23,house,0.5654424000660915
1976,PA,42,24,house,0.4379485662316602
1976,PA,42,25,house,0.4321191962255259
1976,RI,44,1,house,0.6239184607651255
1976,RI,44,2,house,0.7649520583224375
1976,SC,45,1,house,0.6888040887948936
1976,SC,45,2,house,0.4179592399737922
1976,SC,45,3,house,0.9990242246828729
1976,SC,45,4,house,0.7351500821544503
1976,SC,45,5,house,0.5141467590070812
1976,SC,45,6,house,0.5545523609163161
1976,SD,46,1,house,0.1937835461476884
1976,SD,46,2,house,0.3013838913087698
1976,TN,47,1,house,0.4119323906266668
1976,TN,47,2,house,0.3719678426625676
1976,TN,47,3,house,0.6747980323475097
1976,TN,47,4,house,0.9402638462227944
1976,TN,47,5,house,0.92419446056217
1976,TN,47,6,house,0.35540730530668496
1976,TN,47,7,house,0.9998580875883404
1976,TN,47,8,house,0.6066922159152536
1976,TX,48,1,house,0.8371609839349979
1976,TX,48,2,house,0.9503768576741282
1976,TX,48,3,house,0.259579193908726
1976,TX,48,4,house,0.6272145683934894
1976,TX,48,5,house,0.5396523758030659
1976,TX,48,6,house,0.6592940941872445
1976,TX,48,8,house,0.606511788334543
1976,TX,48,9,house,1.0
1976,TX,48,10,house,0.7682116988979992
1976,TX,48,11,house,0.5740398093636109
1976,TX,48,12,house,0.7583402230018099
1976,TX,48,13,house,0.5929761814612665
1976,TX,48,14,house,0.6141937431502129
1976,TX,48,15,house,0.7436705885756022
1976,TX,48,16,house,0.5778974874371859
1976,TX,48,17,house,1.0
1976,TX,48,18,house,0.8550820925406822
1976,TX,48,19,house,0.5463551669059472
1976,TX,48,20,house,1.0
1976,TX,48,21,house,0.7103899191631003
1976,TX,48,22,house,0.5006950135372039
1976,TX,48,23,house,1.0
