date,poll_id,question_id,state,state_po,sample_size,population,d_prob
2018-11-28,57026,92080,Ohio,OH,648.0,v,0.48
2018-12-17,57170,92351,National,NAT,1001.0,rv,0.42
2019-01-07,57275,92597,North Carolina,NC,750.0,rv,0.49
2019-01-21,57365,92773,National,NAT,760.0,rv,0.53
2019-01-26,57427,92926,Michigan,MI,600.0,lv,0.5329999999999999
2019-02-01,57472,93049,National,NAT,1084.0,lv,0.503
2019-02-01,57442,92959,National,NAT,1338.0,lv,0.52
2019-02-02,57445,92974,Iowa,IA,831.0,rv,0.506
2019-02-13,57556,93241,Arizona,AZ,600.0,lv,0.46
2019-02-13,57543,93202,North Carolina,NC,500.0,lv,0.39
2019-02-14,57528,93161,Texas,TX,743.0,rv,0.46
2019-02-16,57532,93173,National,NAT,1000.0,rv,0.546
2019-02-22,57574,93281,New Hampshire,NH,910.0,rv,0.5479999999999999
2019-02-23,57608,93387,National,NAT,1000.0,rv,0.51
2019-02-25,57601,93369,Texas,TX,1222.0,rv,0.46
2019-03-02,57612,93401,South Carolina,SC,755.0,rv,0.48100000000000004
2019-03-10,57656,93506,Michigan,MI,743.0,rv,0.537
2019-03-10,57732,93709,National,NAT,4049.0,lv,0.505
2019-03-12,57684,93585,National,NAT,1622.0,a,0.48
2019-03-17,57697,93612,Wisconsin,WI,775.0,rv,0.5429999999999999
2019-03-18,57714,93674,National,NAT,1001.0,rv,0.44
2019-03-18,57712,93667,National,NAT,1153.0,rv,0.5539999999999999
2019-03-20,57741,93742,National,NAT,1002.0,rv,0.47
2019-03-21,57752,93780,Wisconsin,WI,616.0,lv,0.53
2019-03-21,57754,93786,Pennsylvania,PA,632.0,lv,0.5
2019-03-21,57753,93783,Michigan,MI,530.0,lv,0.45
2019-03-24,57742,93750,Iowa,IA,707.0,rv,0.528
2019-03-28,57791,93877,National,NAT,5000.0,lv,0.49
2019-03-28,57788,93867,Pennsylvania,PA,808.0,rv,0.5479999999999999
2019-03-28,57802,93902,National,NAT,846.0,rv,0.53
2019-03-30,57799,93893,Nevada,NV,719.0,rv,0.517
2019-04-01,57820,93954,National,NAT,1000.0,rv,0.45
2019-04-07,57834,93989,Massachusetts,MA,761.0,rv,0.688
2019-04-09,57871,94080,National,NAT,1584.0,rv,0.45
2019-04-11,59437,101771,Missouri,MO,955.0,lv,0.43
2019-04-14,57884,94101,National,NAT,914.0,rv,0.528
2019-04-18,57947,94220,Wisconsin,WI,802.0,lv,0.5
2019-04-21,57929,94215,National,NAT,1992.0,rv,0.42
2019-04-26,57957,94240,National,NAT,1000.0,rv,0.43
2019-04-28,57973,94334,National,NAT,470.0,rv,0.51
2019-04-28,57962,94251,Texas,TX,799.0,rv,0.505
2019-04-29,57982,94298,National,NAT,1002.0,rv,0.43
2019-04-30,58044,94427,Florida,FL,200.0,lv,0.44
2019-04-30,58045,94428,Iowa,IA,200.0,lv,0.44
2019-04-30,58046,94429,Texas,TX,200.0,lv,0.42
2019-04-30,58049,94432,Pennsylvania,PA,200.0,lv,0.46
2019-04-30,58047,94430,Wisconsin,WI,200.0,lv,0.42
2019-04-30,58048,94431,Michigan,MI,200.0,lv,0.45
2019-05-02,58013,94372,Arizona,AZ,600.0,lv,0.49
2019-05-09,58065,94662,National,NAT,903.0,lv,0.49
2019-05-13,58058,98198,National,NAT,1006.0,rv,0.544
2019-05-14,58082,94491,Pennsylvania,PA,978.0,rv,0.53
2019-05-14,58085,94508,National,NAT,1008.0,rv,0.49
