,state_po,year,population
0,AL,1900,1830000.0
1,AL,1901,1907000.0
2,AL,1902,1935000.0
3,AL,1903,1957000.0
4,AL,1904,1978000.0
5,AL,1905,2012000.0
6,AL,1906,2045000.0
7,AL,1907,2058000.0
8,AL,1908,2070000.0
9,AL,1909,2108000.0
10,AL,1910,2150000.0
11,AL,1911,2185000.0
12,AL,1912,2217000.0
13,AL,1913,2279000.0
14,AL,1914,2336000.0
15,AL,1915,2345000.0
16,AL,1916,2359000.0
17,AL,1917,2361000.0
18,AL,1918,2343000.0
19,AL,1919,2337000.0
20,AL,1920,2359000.0
21,AL,1921,2402000.0
22,AL,1922,2434000.0
23,AL,1923,2464000.0
24,AL,1924,2501000.0
25,AL,1925,2534000.0
26,AL,1926,2567000.0
27,AL,1927,2609000.0
28,AL,1928,2640000.0
29,AL,1929,2644000.0
30,AL,1930,2647000.0
31,AL,1931,2649000.0
32,AL,1932,2653000.0
33,AL,1933,2661000.0
34,AL,1934,2685000.0
35,AL,1935,2719000.0
36,AL,1936,2743000.0
37,AL,1937,2762000.0
38,AL,1938,2787000.0
39,AL,1939,2814000.0
40,AL,1940,2845000.0
41,AL,1941,2902000.0
42,AL,1942,2941000.0
43,AL,1943,2902000.0
44,AL,1944,2802000.0
45,AL,1945,2775000.0
46,AL,1946,2911000.0
47,AL,1947,2942000.0
48,AL,1948,2969000.0
49,AL,1949,3000000.0
50,AL,1950,3058000.0
51,AL,1951,3059000.0
52,AL,1952,3068000.0
53,AL,1953,3053000.0
54,AL,1954,3014000.0
55,AL,1955,3050000.0
56,AL,1956,3071000.0
57,AL,1957,3109000.0
58,AL,1958,3163000.0
59,AL,1959,3204000.0
60,AL,1960,3274000.0
61,AL,1961,3316000.0
62,AL,1962,3323000.0
63,AL,1963,3358000.0
64,AL,1964,3395000.0
65,AL,1965,3443000.0
66,AL,1966,3464000.0
67,AL,1967,3458000.0
68,AL,1968,3446000.0
69,AL,1969,3440000.0
70,AL,1970,3444354.0
71,AL,1971,3497076.0
72,AL,1972,3539400.0
73,AL,1973,3579780.0
74,AL,1974,3626499.0
75,AL,1975,3678814.0
76,AL,1976,3735139.0
77,AL,1977,3780403.0
78,AL,1978,3831836.0
79,AL,1979,3866248.0
80,AL,1980,3900368.0
81,AL,1981,3918531.0
82,AL,1982,3925266.0
83,AL,1983,3934102.0
84,AL,1984,3951820.0
85,AL,1985,3972523.0
86,AL,1986,3991569.0
87,AL,1987,4015264.0
88,AL,1988,4023844.0
89,AL,1989,4030222.0
90,AL,1990,4048508.0
91,AL,1991,4091025.0
92,AL,1992,4139269.0
93,AL,1993,4193113.9999999995
94,AL,1994,4232965.0
95,AL,1995,4262731.0
96,AL,1996,4290403.0
97,AL,1997,4320281.0
98,AL,1998,4351037.0
99,AL,1999,4369862.0
100,AL,2000,4452173.0
101,AL,2001,4467634.0
102,AL,2002,4480089.0
103,AL,2003,4503491.0
104,AL,2004,4530729.0
105,AL,2005,4569805.0
106,AL,2006,4628981.0
107,AL,2007,4672840.0
108,AL,2008,4718206.0
109,AL,2009,4757938.0
110,AL,2010,4785437.0
111,AL,2011,4799069.0
112,AL,2012,4815588.0
113,AL,2013,4830081.0
114,AL,2014,4841799.0
115,AL,2015,4852347.0
116,AL,2016,4863525.0
117,AL,2017,4874486.0
118,AL,2018,4887681.0
119,AL,2019,4903185.0
120,AK,1950,135000.0
121,AK,1951,158000.0
122,AK,1952,189000.0
123,AK,1953,205000.0
124,AK,1954,215000.0
125,AK,1955,222000.0
126,AK,1956,224000.0
127,AK,1957,231000.0
128,AK,1958,224000.0
129,AK,1959,224000.0
130,AK,1960,229000.0
131,AK,1961,238000.0
132,AK,1962,246000.0
133,AK,1963,256000.0
134,AK,1964,263000.0
135,AK,1965,271000.0
136,AK,1966,271000.0
137,AK,1967,278000.0
138,AK,1968,285000.0
139,AK,1969,296000.0
140,AK,1970,302583.0
141,AK,1971,315510.0
142,AK,1972,324464.0
143,AK,1973,330543.0
144,AK,1974,341063.0
