state_po,year,house_price_index
AL,1975,72.3275
AL,1976,77.5
AL,1977,85.5
AL,1978,92.35
AL,1979,102.58
AL,1980,105.585
AL,1981,108.715
AL,1982,110.0425
AL,1983,114.965
AL,1984,122.6225
AL,1985,125.565
AL,1986,132.7675
AL,1987,138.775
AL,1988,142.3625
AL,1989,144.37
AL,1990,146.865
AL,1991,151.525
AL,1992,157.6
AL,1993,164.3325
AL,1994,170.265
AL,1995,177.13
AL,1996,184.33
AL,1997,191.1775
AL,1998,200.9875
AL,1999,206.1775
AL,2000,211.34
AL,2001,223.035
AL,2002,229.5975
AL,2003,238.725
AL,2004,247.8375
AL,2005,265.32500000000005
AL,2006,286.2575
AL,2007,299.8425
AL,2008,303.2
AL,2009,298.7825
AL,2010,287.55
AL,2011,277.8325
AL,2012,276.48749999999995
AL,2013,274.3125
AL,2014,277.93
AL,2015,285.8775
AL,2016,294.445
AL,2017,304.0225
AL,2018,317.46
AL,2019,335.1725
AL,2020,348.135
AK,1975,68.35249999999999
AK,1976,73.90499999999999
AK,1977,79.565
AK,1978,86.39500000000002
AK,1979,96.5775
AK,1980,87.94250000000002
AK,1981,111.6275
AK,1982,138.1875
AK,1983,143.9775
AK,1984,152.4975
AK,1985,145.505
AK,1986,142.45749999999995
AK,1987,120.745
AK,1988,124.81
AK,1989,110.64
AK,1990,113.88
AK,1991,129.5775
AK,1992,135.61249999999998
AK,1993,138.365
AK,1994,144.6075
AK,1995,150.8125
AK,1996,157.72
AK,1997,162.0175
AK,1998,166.96
AK,1999,172.73999999999995
AK,2000,175.68
AK,2001,184.4825
AK,2002,194.49
AK,2003,204.035
AK,2004,224.56
AK,2005,252.3125
AK,2006,277.03
AK,2007,287.87
AK,2008,286.71
AK,2009,285.25
AK,2010,283.5250000000001
AK,2011,285.895
AK,2012,287.16
AK,2013,295.9625
AK,2014,302.0525
AK,2015,312.115
AK,2016,318.8675
AK,2017,323.17
AK,2018,326.24
AK,2019,335.80499999999995
AK,2020,343.455
AZ,1975,58.7625
AZ,1976,60.655
AZ,1977,65.59
AZ,1978,76.47500000000002
AZ,1979,93.33249999999998
AZ,1980,103.1575
AZ,1981,111.7025
AZ,1982,109.005
AZ,1983,116.86
AZ,1984,121.0775
AZ,1985,126.6125
AZ,1986,133.685
AZ,1987,135.775
AZ,1988,134.72
AZ,1989,133.4275
AZ,1990,133.16000000000003
AZ,1991,136.1675
AZ,1992,140.22
AZ,1993,143.555
AZ,1994,150.64499999999995
AZ,1995,159.52
AZ,1996,167.285
AZ,1997,174.0025
AZ,1998,183.1625
AZ,1999,192.13
AZ,2000,203.77
AZ,2001,217.3025
AZ,2002,229.17
AZ,2003,242.41
AZ,2004,272.84
AZ,2005,353.86749999999995
AZ,2006,419.5425
AZ,2007,415.265
AZ,2008,357.5275
AZ,2009,300.4550000000001
AZ,2010,263.375
AZ,2011,234.9925
AZ,2012,244.4075
AZ,2013,277.46
AZ,2014,303.075
AZ,2015,321.7125000000001
AZ,2016,343.775
AZ,2017,371.255
AZ,2018,402.125
AZ,2019,429.16
AZ,2020,452.43
AR,1975,63.9625
AR,1976,69.9025
AR,1977,77.3475
AR,1978,84.45750000000002
AR,1979,97.7225
AR,1980,104.405
AR,1981,107.74
AR,1982,107.61
AR,1983,117.105
AR,1984,120.2875
AR,1985,122.86
AR,1986,127.72
AR,1987,128.39749999999998
AR,1988,127.2175
AR,1989,127.8175
AR,1990,128.64249999999998
AR,1991,131.70999999999998
AR,1992,135.995
AR,1993,142.175
AR,1994,150.2925
AR,1995,157.3775
AR,1996,163.0175
AR,1997,167.91750000000005
AR,1998,174.0775
AR,1999,178.39249999999996
AR,2000,182.62
AR,2001,192.3675
AR,2002,198.74
AR,2003,206.945
AR,2004,218.925
AR,2005,234.94
AR,2006,249.3
AR,2007,256.645
AR,2008,255.755
AR,2009,252.5075
AR,2010,246.0725
AR,2011,241.99
AR,2012,243.27
AR,2013,246.77
AR,2014,249.895
AR,2015,256.19
AR,2016,263.5175
AR,2017,273.3175
AR,2018,284.0975
AR,2019,295.6075
AR,2020,303.61
CA,1975,43.59
CA,1976,51.7375
CA,1977,64.855
CA,1978,77.325
CA,1979,90.71
CA,1980,104.46
CA,1981,114.4875
CA,1982,116.4075
CA,1983,117.725
CA,1984,121.19
CA,1985,127.7575
CA,1986,136.5475
CA,1987,150.84000000000003
CA,1988,174.595
CA,1989,211.335
CA,1990,228.76
CA,1991,227.915
CA,1992,225.08500000000004
CA,1993,216.56
CA,1994,205.9625
CA,1995,202.15
CA,1996,201.63
CA,1997,207.0025
CA,1998,224.33
CA,1999,242.27
CA,2000,272.6675
CA,2001,307.425
CA,2002,341.7625
CA,2003,384.3725
CA,2004,471.75
CA,2005,582.37
CA,2006,641.6500000000002
CA,2007,606.86
CA,2008,485.765
CA,2009,420.3325
CA,2010,407.6675
CA,2011,386.2925
CA,2012,386.68
CA,2013,435.5475
CA,2014,489.1075
CA,2015,523.9575
CA,2016,561.3575
CA,2017,602.6999999999998
CA,2018,645.2975
CA,2019,667.1675
CA,2020,683.365
CO,1975,54.6725
CO,1976,59.19
CO,1977,68.155
CO,1978,82.1025
CO,1979,96.0625
CO,1980,104.155
CO,1981,111.36
CO,1982,122.905
CO,1983,125.41
CO,1984,125.81
CO,1985,126.2725
CO,1986,129.2925
CO,1987,127.4225
CO,1988,124.76
CO,1989,125.7425
CO,1990,128.57
CO,1991,133.4375
CO,1992,142.6275
CO,1993,155.5675
CO,1994,174.565
CO,1995,188.5
CO,1996,199.825
CO,1997,210.54
CO,1998,223.0875
CO,1999,242.41
CO,2000,270.6925
CO,2001,296.055
CO,2002,310.8624999999999
CO,2003,318.915
CO,2004,330.12
CO,2005,346.115
CO,2006,356.5275000000001
CO,2007,360.7925
CO,2008,357.3075
CO,2009,351.58
CO,2010,340.3425
CO,2011,329.9275
CO,2012,334.5675
CO,2013,355.08
CO,2014,384.7025
CO,2015,426.0125000000001
CO,2016,471.0725
CO,2017,515.6875
CO,2018,560.81
CO,2019,589.135
CO,2020,606.825
CT,1975,61.99
CT,1976,65.94
CT,1977,68.9025
CT,1978,81.9375
CT,1979,98.64
CT,1980,102.5225
CT,1981,109.8625
CT,1982,111.3875
CT,1983,121.8975
CT,1984,136.6925
CT,1985,157.8625
CT,1986,192.6225
CT,1987,241.9325
CT,1988,265.175
CT,1989,261.27750000000003
CT,1990,248.1775
CT,1991,236.195
CT,1992,233.6175
CT,1993,229.73
CT,1994,222.41
CT,1995,221.16
CT,1996,224.2275
CT,1997,226.85
CT,1998,238.21
CT,1999,250.9625
CT,2000,270.4175
CT,2001,294.2075
CT,2002,322.4025000000001
CT,2003,349.8225
CT,2004,392.03
CT,2005,439.93750000000006
CT,2006,464.765
CT,2007,465.8275
CT,2008,445.845
CT,2009,420.585
CT,2010,404.815
CT,2011,391.86500000000007
CT,2012,384.305
CT,2013,380.795
CT,2014,380.4775
CT,2015,386.7175
CT,2016,389.605
CT,2017,393.1875
CT,2018,397.91
CT,2019,409.1975
CT,2020,418.965
DE,1975,89.69
DE,1976,83.13499999999998
DE,1977,82.83250000000002
DE,1978,85.96249999999998
DE,1979,91.59
DE,1980,106.47
DE,1981,109.16
DE,1982,112.71750000000002
DE,1983,122.02249999999998
DE,1984,130.345
DE,1985,142.1625
DE,1986,158.135
DE,1987,179.95000000000005
DE,1988,199.3075
DE,1989,218.76
DE,1990,225.875
DE,1991,229.6575
DE,1992,232.1825
DE,1993,233.2475
DE,1994,229.5975
DE,1995,230.115
DE,1996,234.055
DE,1997,237.15
DE,1998,244.92
DE,1999,254.2525
DE,2000,268.8375
DE,2001,288.4275
DE,2002,311.5900000000001
DE,2003,338.1625
DE,2004,384.8425
DE,2005,443.925
DE,2006,486.08
DE,2007,498.12
DE,2008,481.5925
DE,2009,455.4725
DE,2010,436.0125000000001
DE,2011,411.6875
DE,2012,403.12
DE,2013,406.5425
DE,2014,413.42
DE,2015,423.83499999999987
DE,2016,434.5575
DE,2017,443.105
DE,2018,460.1975
DE,2019,478.7375
DE,2020,493.41
FL,1975,71.575
FL,1976,71.30499999999998
FL,1977,74.765
FL,1978,82.83
FL,1979,93.5925
FL,1980,103.82
FL,1981,111.915
FL,1982,121.2825
FL,1983,124.82
FL,1984,127.45
FL,1985,129.24
FL,1986,135.05249999999998
FL,1987,139.0675
FL,1988,144.9225
FL,1989,150.5525
FL,1990,153.4875
FL,1991,156.0625
FL,1992,160.29250000000005
FL,1993,163.8975
FL,1994,165.22000000000003
FL,1995,169.1525
FL,1996,173.89249999999996
FL,1997,178.6125
FL,1998,187.47
FL,1999,194.7975
FL,2000,208.0225
FL,2001,228.725
FL,2002,252.145
FL,2003,278.8275
FL,2004,326.81
FL,2005,410.7025
FL,2006,475.725
FL,2007,463.3875000000001
FL,2008,384.0825
FL,2009,327.2050000000001
FL,2010,295.165
FL,2011,272.6875
FL,2012,270.935
FL,2013,292.925
FL,2014,320.5
FL,2015,350.3025
FL,2016,382.99
FL,2017,417.2875
FL,2018,450.27249999999987
FL,2019,477.84
FL,2020,498.515
GA,1975,73.6
GA,1976,75.53
GA,1977,77.59
GA,1978,84.36
GA,1979,91.665
GA,1980,101.3475
GA,1981,109.1225
GA,1982,114.8825
GA,1983,119.4825
GA,1984,126.2475
GA,1985,133.40250000000003
GA,1986,142.915
GA,1987,150.6925
GA,1988,156.16
GA,1989,159.4875
GA,1990,160.155
GA,1991,161.7675
GA,1992,165.96749999999997
GA,1993,170.55499999999995
GA,1994,174.34000000000003
GA,1995,180.8025
GA,1996,189.12
GA,1997,197.62
GA,1998,209.635
GA,1999,222.41000000000003
GA,2000,235.85
GA,2001,253.12
GA,2002,264.59
GA,2003,274.7275
GA,2004,286.9825
GA,2005,303.06
GA,2006,316.8475
GA,2007,326.02
GA,2008,318.745
GA,2009,304.02
GA,2010,282.19000000000005
GA,2011,260.945
GA,2012,250.9125
GA,2013,261.08750000000003
GA,2014,278.8875
GA,2015,296.6124999999999
GA,2016,315.19
GA,2017,335.705
GA,2018,362.63
GA,2019,385.6875
GA,2020,400.52
HI,1975,56.35
HI,1976,55.52250000000001
HI,1977,59.99250000000001
HI,1978,68.075
HI,1979,84.4775
HI,1980,102.6625
HI,1981,84.1225
HI,1982,101.1625
HI,1983,106.77
HI,1984,110.72
HI,1985,115.8675
