year,state_po,state_fips,office,d_prob
1976,AL,1,president,0.5572726888447394
1976,AK,2,president,0.3565313091750692
1976,AZ,4,president,0.39799978188251545
1976,AR,5,president,0.6496172812966184
1976,CA,6,president,0.4795482183611254
1976,CO,8,president,0.4260994599792869
1976,CT,9,president,0.4673370096403879
1976,DE,10,president,0.5196908870235357
1976,DC,11,president,0.8163122667772316
1976,FL,12,president,0.5192610623078361
1976,GA,13,president,0.6693829485931742
1976,HI,15,president,0.5059199934088795
1976,ID,16,president,0.3711854563373341
1976,IL,17,president,0.4810759026891425
1976,IN,18,president,0.4570038579294727
1976,IA,19,president,0.4845849654069442
1976,KS,20,president,0.4493639367538589
1976,KY,21,president,0.5275424926872652
1976,LA,22,president,0.5177499622274604
1976,ME,23,president,0.480940766261947
1976,MD,24,president,0.5303541992343639
1976,MA,25,president,0.5611157822510813
1976,MI,26,president,0.4646507411839774
1976,MN,27,president,0.5489630145887213
1976,MS,28,president,0.4962701232447065
1976,MO,29,president,0.5110498566748567
1976,MT,30,president,0.4540418697183741
1976,NE,31,president,0.3844967194012681
1976,NV,32,president,0.4580980403812241
1976,NH,33,president,0.43472692100451377
1976,NJ,34,president,0.4792391503387658
1976,NM,35,president,0.4828440433039679
1976,NY,36,president,0.4865083285569763
1976,NC,37,president,0.5526918671248569
1976,ND,38,president,0.4577004318753616
1976,OH,39,president,0.4889868666639419
1976,OK,40,president,0.48747220190231005
1976,OR,41,president,0.4761806275706978
1976,PA,42,president,0.5039567935072532
1976,RI,44,president,0.5544200455935935
1976,SC,45,president,0.5616951766982355
1976,SD,46,president,0.4891212526357099
1976,TN,47,president,0.5594074830696869
1976,TX,48,president,0.5113895680721751
1976,UT,49,president,0.3364817873758818
1976,VT,50,president,0.42304053245750456
1976,VA,51,president,0.4795821563213352
1976,WA,53,president,0.461142604404661
1976,WV,54,president,0.5806951864533234
1976,WI,55,president,0.4950336357441171
1976,WY,56,president,0.3980926552515943
1980,AL,1,president,0.4744885906780463
1980,AK,2,president,0.2640790179557575
1980,AZ,4,president,0.2824468358992843
1980,AR,5,president,0.4752263062004675
1980,CA,6,president,0.35919436910764124
1980,CO,8,president,0.3107003250453797
1980,CT,9,president,0.3852220566954778
1980,DE,10,president,0.4487414498362103
1980,DC,11,president,0.7489317898199426
1980,FL,12,president,0.3850021983076963
1980,GA,13,president,0.5579610534786652
1980,HI,15,president,0.4480211812573569
1980,ID,16,president,0.2519071579289077
1980,IL,17,president,0.417164081848176
1980,IN,18,president,0.3765319243739945
