state_po,year,median_household_income
AL,1984,40682.0
AL,1985,41656.0
AL,1986,42724.0
AL,1987,42602.0
AL,1988,41563.0
AL,1989,42489.0
AL,1990,44436.0
AL,1991,44692.0
AL,1992,46226.0
AL,1993,43821.0
AL,1994,46542.0
AL,1995,43434.0
AL,1996,49324.0
AL,1997,50889.0
AL,1998,57011.0
AL,1999,55799.0
AL,2000,52737.0
AL,2001,50895.0
AL,2002,53586.0
AL,2003,51912.0
AL,2004,49697.0
AL,2005,48752.0
AL,2006,48241.0
AL,2007,52176.0
AL,2008,52941.0
AL,2009,47755.0
AL,2010,48100.0
AL,2011,48518.0
AL,2012,48487.0
AL,2013,52017.0
AL,2014,45701.0
AL,2015,48030.0
AL,2016,50308.0
AL,2017,53049.0
AL,2018,50841.0
AL,2019,56200.0
AK,1984,76043.0
AK,1985,79031.0
AK,1986,70021.0
AK,1987,71744.0
AK,1988,68972.0
AK,1989,71878.0
AK,1990,74764.0
AK,1991,74551.0
AK,1992,74874.0
AK,1993,75005.0
AK,1994,77639.0
AK,1995,80136.0
AK,1996,85911.0
AK,1997,76469.0
AK,1998,79689.0
AK,1999,79111.0
AK,2000,78675.0
AK,2001,83034.0
AK,2002,75206.0
AK,2003,72230.0
AK,2004,74707.0
AK,2005,73346.0
AK,2006,71713.0
AK,2007,77862.0
AK,2008,76168.0
AK,2009,73585.0
AK,2010,67977.0
AK,2011,65424.0
AK,2012,71003.0
AK,2013,79666.0
AK,2014,73105.0
AK,2015,81054.0
AK,2016,80673.0
AK,2017,81335.0
AK,2018,69979.0
AK,2019,78394.0
AZ,1984,50353.0
AZ,1985,54253.0
AZ,1986,56944.0
AZ,1987,57747.0
AZ,1988,55079.0
AZ,1989,56998.0
AZ,1990,55598.0
AZ,1991,56424.0
AZ,1992,52585.0
AZ,1993,53304.0
AZ,1994,53554.0
AZ,1995,51575.0
AZ,1996,51497.0
AZ,1997,52165.0
AZ,1998,58306.0
AZ,1999,56944.0
AZ,2000,59226.0
AZ,2001,61815.0
AZ,2002,56623.0
AZ,2003,57361.0
AZ,2004,59488.0
AZ,2005,59375.0
AZ,2006,59306.0
AZ,2007,58360.0
AZ,2008,55843.0
AZ,2009,54634.0
AZ,2010,55107.0
AZ,2011,55388.0
AZ,2012,52480.0
AZ,2013,57834.0
AZ,2014,53242.0
AZ,2015,56381.0
AZ,2016,60832.0
AZ,2017,62263.0
AZ,2018,63411.0
AZ,2019,70674.0
AR,1984,36837.0
AR,1985,39652.0
AR,1986,41826.0
AR,1987,40644.0
AR,1988,42030.0
AR,1989,42786.0
AR,1990,43350.0
AR,1991,43019.0
AR,1992,42776.0
AR,1993,40251.0
AR,1994,43751.0
AR,1995,43138.0
AR,1996,44150.0
AR,1997,41684.0
AR,1998,43490.0
AR,1999,45688.0
AR,2000,44211.0
AR,2001,48259.0
AR,2002,46153.0
AR,2003,44592.0
AR,2004,47465.0
AR,2005,48106.0
AR,2006,47103.0
AR,2007,50425.0
AR,2008,47120.0
AR,2009,43644.0
AR,2010,45343.0
AR,2011,47051.0
AR,2012,43527.0
AR,2013,43285.0
AR,2014,48559.0
AR,2015,46184.0
AR,2016,48908.0
AR,2017,51887.0
AR,2018,50683.0
AR,2019,54539.0
CA,1984,59429.0
CA,1985,61306.0
CA,1986,64782.0
CA,1987,65080.0
CA,1988,63105.0
CA,1989,65895.0
CA,1990,63333.0
CA,1991,61797.0
CA,1992,62517.0
CA,1993,59529.0
CA,1994,60464.0
CA,1995,61846.0
CA,1996,63176.0
CA,1997,63245.0
CA,1998,64349.0
CA,1999,67156.0
CA,2000,69696.0
CA,2001,68413.0
CA,2002,67600.0
CA,2003,68695.0
CA,2004,66782.0
CA,2005,67918.0
CA,2006,70316.0
CA,2007,68890.0
CA,2008,67865.0
CA,2009,67051.0
CA,2010,63788.0
CA,2011,60795.0
CA,2012,63609.0
CA,2013,66829.0
CA,2014,65384.0
CA,2015,68670.0
CA,2016,70993.0
CA,2017,73045.0
CA,2018,71766.0
CA,2019,78105.0
CO,1984,60637.0
CO,1985,64035.0
CO,1986,60722.0
CO,1987,57157.0
CO,1988,54619.0
CO,1989,53513.0
CO,1990,58469.0
CO,1991,57822.0
CO,1992,58184.0
CO,1993,60254.0
CO,1994,64746.0
CO,1995,68024.0
CO,1996,66657.0
CO,1997,68884.0
CO,1998,73255.0
CO,1999,74156.0
CO,2000,71816.0
CO,2001,71503.0
CO,2002,68822.0
CO,2003,69587.0
CO,2004,69040.0
CO,2005,66204.0
CO,2006,70796.0
CO,2007,75573.0
CO,2008,72542.0
CO,2009,66807.0
CO,2010,70779.0
CO,2011,66789.0
CO,2012,63871.0
CO,2013,74654.0
CO,2014,65874.0
CO,2015,71864.0
CO,2016,75179.0
CO,2017,78204.0
CO,2018,74357.0
CO,2019,72499.0
CT,1984,70390.0
CT,1985,70642.0
CT,1986,73069.0
CT,1987,70943.0
CT,1988,75452.0
CT,1989,84485.0
CT,1990,73949.0
CT,1991,77382.0
CT,1992,73152.0
CT,1993,69038.0
CT,1994,70332.0
CT,1995,67250.0
CT,1996,68559.0
CT,1997,70082.0
CT,1998,73112.0
CT,1999,77875.0
CT,2000,74693.0
CT,2001,77221.0
CT,2002,76080.0
CT,2003,76589.0
CT,2004,74757.0
CT,2005,74585.0
CT,2006,79322.0
CT,2007,79281.0
CT,2008,76993.0
CT,2009,77463.0
CT,2010,77554.0
CT,2011,74520.0
CT,2012,71671.0
CT,2013,76170.0
CT,2014,75842.0
CT,2015,78655.0
CT,2016,80886.0
CT,2017,77494.0
CT,2018,74131.0
CT,2019,87291.0
DE,1984,60679.0
DE,1985,52215.0
DE,1986,57225.0
DE,1987,63133.0
DE,1988,63559.0
DE,1989,64017.0
DE,1990,58604.0
DE,1991,59816.0
DE,1992,63905.0
DE,1993,63007.0
DE,1994,61392.0
DE,1995,58368.0
DE,1996,63985.0
DE,1997,68565.0
DE,1998,65173.0
DE,1999,71772.0
DE,2000,74980.0
DE,2001,71800.0
DE,2002,70754.0
DE,2003,68304.0
DE,2004,65191.0
DE,2005,67236.0
DE,2006,66654.0
DE,2007,67475.0
DE,2008,60352.0
DE,2009,62249.0
DE,2010,64882.0
DE,2011,62268.0
DE,2012,54631.0
DE,2013,59461.0
DE,2014,62179.0
DE,2015,62325.0
DE,2016,61840.0
DE,2017,67750.0
DE,2018,66190.0
DE,2019,74194.0
FL,1984,46498.0
FL,1985,48495.0
FL,1986,51024.0
FL,1987,52868.0
FL,1988,52935.0
FL,1989,52073.0
FL,1990,50768.0
FL,1991,50026.0
FL,1992,48986.0
FL,1993,49880.0
FL,1994,50133.0
FL,1995,49707.0
FL,1996,49876.0
FL,1997,51711.0
FL,1998,54878.0
FL,1999,55153.0
FL,2000,57846.0
FL,2001,52720.0
FL,2002,54186.0
FL,2003,54304.0
FL,2004,54996.0
FL,2005,56416.0
FL,2006,58059.0
FL,2007,56604.0
FL,2008,53394.0
FL,2009,54505.0
FL,2010,51782.0
FL,2011,51383.0
FL,2012,51395.0
FL,2013,53350.0
FL,2014,49876.0
FL,2015,52687.0
FL,2016,54521.0
FL,2017,55365.0
FL,2018,55634.0
FL,2019,58368.0
GA,1984,46966.0
GA,1985,47827.0
GA,1986,54421.0
GA,1987,57671.0
GA,1988,55352.0
GA,1989,54982.0
GA,1990,52434.0
GA,1991,49953.0
GA,1992,51580.0
GA,1993,55318.0
GA,1994,53851.0
GA,1995,56983.0
GA,1996,52896.0
GA,1997,58416.0
GA,1998,60782.0
GA,1999,60685.0
GA,2000,62379.0
GA,2001,61630.0
GA,2002,61191.0
GA,2003,59134.0
GA,2004,55605.0
GA,2005,60269.0
GA,2006,62721.0
GA,2007,60123.0
GA,2008,55025.0
GA,2009,51769.0
GA,2010,51842.0
GA,2011,52372.0
GA,2012,53682.0
GA,2013,51657.0
GA,2014,53567.0
GA,2015,54784.0
GA,2016,57026.0
GA,2017,60475.0
GA,2018,56832.0
GA,2019,56628.0
HI,1984,67866.0
HI,1985,65805.0
HI,1986,64766.0
HI,1987,75607.0
HI,1988,68808.0
HI,1989,69940.0
HI,1990,74046.0
HI,1991,68372.0
HI,1992,75431.0
HI,1993,74535.0
HI,1994,72314.0
HI,1995,71609.0
HI,1996,67995.0
HI,1997,65221.0
HI,1998,64181.0
HI,1999,68503.0
HI,2000,76738.0
HI,2001,68669.0
HI,2002,67409.0
HI,2003,72226.0
HI,2004,76307.0
HI,2005,78195.0
HI,2006,76863.0
HI,2007,79134.0
HI,2008,73230.0
HI,2009,66472.0
HI,2010,69964.0
HI,2011,67265.0
HI,2012,62765.0
HI,2013,70612.0
HI,2014,76990.0
HI,2015,69617.0
HI,2016,76848.0
HI,2017,76759.0
HI,2018,81559.0
HI,2019,88006.0
ID,1984,49570.0
ID,1985,47173.0
ID,1986,46335.0
ID,1987,44807.0
ID,1988,48860.0
ID,1989,49216.0
ID,1990,48142.0
ID,1991,47941.0
ID,1992,49622.0
ID,1993,54178.0
ID,1994,53970.0
ID,1995,54605.0
ID,1996,56498.0
ID,1997,53223.0
ID,1998,57662.0
ID,1999,55105.0
ID,2000,55993.0
ID,2001,55355.0
ID,2002,53746.0
ID,2003,59042.0
ID,2004,60183.0
ID,2005,57972.0
ID,2006,58741.0
ID,2007,60794.0
ID,2008,56445.0
ID,2009,55875.0
ID,2010,55288.0
ID,2011,54064.0
ID,2012,53460.0
ID,2013,53278.0
ID,2014,57765.0
ID,2015,55708.0
ID,2016,60261.0
ID,2017,62052.0
ID,2018,59792.0
ID,2019,65988.0
IL,1984,55822.0
IL,1985,56509.0
IL,1986,59202.0
IL,1987,58470.0
IL,1988,61515.0
IL,1989,62484.0
IL,1990,61910.0
IL,1991,58529.0
IL,1992,56513.0
IL,1993,57404.0
IL,1994,60036.0
IL,1995,63621.0
IL,1996,64384.0
IL,1997,65777.0
IL,1998,67877.0
IL,1999,71313.0
IL,2000,68577.0
IL,2001,66833.0
IL,2002,60864.0
IL,2003,62917.0
IL,2004,62515.0
IL,2005,63513.0
IL,2006,61866.0
IL,2007,64900.0
IL,2008,63390.0
IL,2009,63152.0
IL,2010,59610.0
IL,2011,57685.0
IL,2012,57717.0
IL,2013,59291.0
IL,2014,59362.0
IL,2015,65192.0
IL,2016,65398.0
IL,2017,68801.0
IL,2018,71416.0
IL,2019,74399.0
IN,1984,53514.0
IN,1985,51522.0
IN,1986,50754.0
IN,1987,48615.0
IN,1988,54783.0
IN,1989,51700.0
IN,1990,51230.0
IN,1991,49727.0
IN,1992,51102.0
IN,1993,51496.0
IN,1994,47675.0
IN,1995,55790.0
IN,1996,57211.0
IN,1997,61962.0
IN,1998,62458.0
IN,1999,62860.0
IN,2000,60837.0
IN,2001,58449.0
IN,2002,58494.0
IN,2003,59116.0
IN,2004,57430.0
IN,2005,55690.0
IN,2006,57717.0
IN,2007,58654.0
IN,2008,55374.0
IN,2009,52921.0
IN,2010,54218.0
IN,2011,50631.0
IN,2012,51492.0
IN,2013,54364.0
IN,2014,51951.0
IN,2015,56095.0
IN,2016,59761.0
IN,2017,61290.0
IN,2018,60977.0
IN,2019,66693.0
IA,1984,46682.0
IA,1985,47550.0
IA,1986,50153.0
IA,1987,47904.0
IA,1988,50641.0
IA,1989,52433.0
IA,1990,51915.0
IA,1991,52414.0
IA,1992,51483.0
IA,1993,50077.0
IA,1994,56610.0
IA,1995,59356.0
IA,1996,54056.0
IA,1997,53827.0
IA,1998,58195.0
IA,1999,63260.0
IA,2000,61025.0
IA,2001,59314.0
IA,2002,58497.0
IA,2003,57665.0
IA,2004,58871.0
IA,2005,61022.0
IA,2006,61173.0
IA,2007,60453.0
IA,2008,59685.0
IA,2009,60585.0
IA,2010,57598.0
IA,2011,57209.0
IA,2012,59618.0
IA,2013,66128.0
IA,2014,62491.0
IA,2015,65669.0
IA,2016,62957.0
IA,2017,66192.0
IA,2018,69963.0
IA,2019,66054.0
KS,1984,57883.0
KS,1985,51778.0
KS,1986,53429.0
KS,1987,55229.0
KS,1988,53268.0
KS,1989,53624.0
KS,1990,56916.0
KS,1991,53777.0
KS,1992,54354.0
KS,1993,52011.0
KS,1994,48469.0
KS,1995,50703.0
KS,1996,53040.0
KS,1997,58110.0
KS,1998,57711.0
KS,1999,57488.0
KS,2000,61126.0
KS,2001,59949.0
KS,2002,60734.0
KS,2003,61633.0
KS,2004,55717.0
KS,2005,55152.0
KS,2006,57901.0
KS,2007,59945.0
KS,2008,56989.0
KS,2009,53414.0
KS,2010,54118.0
KS,2011,52570.0
KS,2012,55781.0
KS,2013,52567.0
KS,2014,57771.0
KS,2015,59205.0
KS,2016,60523.0
KS,2017,59343.0
KS,2018,65096.0
KS,2019,73151.0
KY,1984,41551.0
KY,1985,39447.0
KY,1986,44381.0
KY,1987,44629.0
KY,1988,41478.0
KY,1989,46480.0
KY,1990,47143.0
KY,1991,43623.0
KY,1992,42065.0
KY,1993,42587.0
KY,1994,45514.0
KY,1995,49816.0
KY,1996,52760.0
KY,1997,53300.0
KY,1998,56989.0
KY,1999,51931.0
KY,2000,53989.0
KY,2001,55638.0
KY,2002,52388.0
KY,2003,51467.0
KY,2004,48314.0
KY,2005,48160.0
KY,2006,50189.0
KY,2007,48765.0
KY,2008,48980.0
KY,2009,50961.0
KY,2010,48301.0
KY,2011,45403.0
KY,2012,45834.0
KY,2013,49334.0
KY,2014,46250.0
KY,2015,45740.0
KY,2016,48335.0
KY,2017,51805.0
KY,2018,55543.0
KY,2019,55662.0
LA,1984,44534.0
LA,1985,48122.0
LA,1986,46649.0
LA,1987,46089.0
LA,1988,42707.0
LA,1989,45637.0
LA,1990,42625.0
LA,1991,46441.0
LA,1992,45565.0
LA,1993,45970.0
LA,1994,43941.0
LA,1995,46706.0
LA,1996,49259.0
LA,1997,52994.0
LA,1998,49888.0
LA,1999,50263.0
LA,2000,45731.0
LA,2001,48234.0
LA,2002,48463.0
LA,2003,46689.0
LA,2004,49425.0
LA,2005,48865.0
LA,2006,46380.0
LA,2007,51065.0
LA,2008,47093.0
LA,2009,54269.0
LA,2010,46181.0
LA,2011,46317.0
LA,2012,43601.0
LA,2013,51034.0
LA,2014,45839.0
LA,2015,49555.0
LA,2016,44954.0
LA,2017,45436.0
LA,2018,50878.0
LA,2019,51707.0
ME,1984,48527.0
ME,1985,46623.0
ME,1986,52308.0
ME,1987,50948.0
ME,1988,55010.0
ME,1989,56337.0
ME,1990,52250.0
ME,1991,51157.0
ME,1992,53049.0
ME,1993,47937.0
ME,1994,51882.0
ME,1995,56580.0
ME,1996,56477.0
ME,1997,52216.0
ME,1998,56027.0
ME,1999,59818.0
ME,2000,55479.0
ME,2001,52997.0
ME,2002,52518.0
ME,2003,51714.0
ME,2004,56073.0
ME,2005,57640.0
ME,2006,58016.0
ME,2007,59199.0
ME,2008,56217.0
