state_po,year,bachelors_education_rate
AL,2006,0.211
AL,2007,0.214
AL,2008,0.22
AL,2009,0.22
AL,2010,0.219
AL,2011,0.223
AL,2012,0.233
AL,2013,0.235
AL,2014,0.235
AL,2015,0.242
AL,2016,0.247
AL,2017,0.255
AL,2018,0.255
AL,2019,0.263
AK,2006,0.269
AK,2007,0.26
AK,2008,0.273
AK,2009,0.266
AK,2010,0.279
AK,2011,0.264
AK,2012,0.28
AK,2013,0.28
AK,2014,0.28
AK,2015,0.297
AK,2016,0.29600000000000004
AK,2017,0.28800000000000003
AK,2018,0.302
AK,2019,0.302
AZ,2006,0.255
AZ,2007,0.253
AZ,2008,0.251
AZ,2009,0.256
AZ,2010,0.259
AZ,2011,0.266
AZ,2012,0.273
AZ,2013,0.274
AZ,2014,0.276
AZ,2015,0.277
AZ,2016,0.289
AZ,2017,0.294
AZ,2018,0.297
AZ,2019,0.302
AR,2006,0.182
AR,2007,0.193
AR,2008,0.188
AR,2009,0.189
AR,2010,0.195
AR,2011,0.203
AR,2012,0.21
AR,2013,0.206
AR,2014,0.214
AR,2015,0.218
AR,2016,0.224
AR,2017,0.234
AR,2018,0.233
AR,2019,0.233
CA,2006,0.29
CA,2007,0.295
CA,2008,0.29600000000000004
CA,2009,0.299
CA,2010,0.301
CA,2011,0.303
CA,2012,0.309
CA,2013,0.31
CA,2014,0.317
CA,2015,0.32299999999999995
CA,2016,0.329
CA,2017,0.336
CA,2018,0.342
CA,2019,0.35
CO,2006,0.343
CO,2007,0.35
CO,2008,0.35600000000000004
CO,2009,0.359
CO,2010,0.364
CO,2011,0.3670000000000001
CO,2012,0.375
CO,2013,0.378
CO,2014,0.383
CO,2015,0.392
CO,2016,0.399
CO,2017,0.412
CO,2018,0.417
CO,2019,0.4270000000000001
CT,2006,0.337
CT,2007,0.34700000000000003
CT,2008,0.35600000000000004
CT,2009,0.35600000000000004
CT,2010,0.355
CT,2011,0.362
CT,2012,0.371
CT,2013,0.3720000000000001
CT,2014,0.38
CT,2015,0.383
CT,2016,0.386
CT,2017,0.387
CT,2018,0.396
CT,2019,0.398
DE,2006,0.27
DE,2007,0.261
DE,2008,0.275
DE,2009,0.287
DE,2010,0.278
DE,2011,0.28800000000000003
DE,2012,0.295
DE,2013,0.298
DE,2014,0.306
DE,2015,0.309
DE,2016,0.31
DE,2017,0.315
DE,2018,0.313
DE,2019,0.332
FL,2006,0.253
FL,2007,0.258
FL,2008,0.258
FL,2009,0.253
FL,2010,0.258
FL,2011,0.258
FL,2012,0.268
FL,2013,0.272
FL,2014,0.273
FL,2015,0.284
FL,2016,0.28600000000000003
FL,2017,0.297
FL,2018,0.304
FL,2019,0.307
GA,2006,0.266
GA,2007,0.271
GA,2008,0.275
GA,2009,0.275
GA,2010,0.273
GA,2011,0.276
GA,2012,0.282
GA,2013,0.28300000000000003
GA,2014,0.29100000000000004
GA,2015,0.299
GA,2016,0.305
GA,2017,0.309
GA,2018,0.319
GA,2019,0.325
HI,2006,0.297
HI,2007,0.292
HI,2008,0.29100000000000004
HI,2009,0.29600000000000004
HI,2010,0.295
HI,2011,0.29100000000000004
HI,2012,0.301
HI,2013,0.312
HI,2014,0.31
HI,2015,0.314
HI,2016,0.319
HI,2017,0.329
HI,2018,0.335
HI,2019,0.336
ID,2006,0.233
ID,2007,0.245
ID,2008,0.24
ID,2009,0.239
ID,2010,0.244
ID,2011,0.252
ID,2012,0.255
ID,2013,0.262
ID,2014,0.25
ID,2015,0.26
ID,2016,0.276
ID,2017,0.268
ID,2018,0.277
ID,2019,0.287
IL,2006,0.289
IL,2007,0.295
IL,2008,0.299
IL,2009,0.306
IL,2010,0.308
IL,2011,0.31
IL,2012,0.316
IL,2013,0.321
IL,2014,0.328
IL,2015,0.329
IL,2016,0.34
IL,2017,0.344
IL,2018,0.35100000000000003
IL,2019,0.358
IN,2006,0.217
IN,2007,0.221
IN,2008,0.229
IN,2009,0.225
IN,2010,0.227
IN,2011,0.23
IN,2012,0.234
IN,2013,0.238
IN,2014,0.247
IN,2015,0.249
IN,2016,0.256
IN,2017,0.268
IN,2018,0.271
IN,2019,0.269
IA,2006,0.24
IA,2007,0.243
IA,2008,0.243
IA,2009,0.251
IA,2010,0.249
IA,2011,0.258
IA,2012,0.263
IA,2013,0.264
IA,2014,0.277
IA,2015,0.268
IA,2016,0.284
IA,2017,0.289
IA,2018,0.29
IA,2019,0.293
KS,2006,0.28600000000000003
KS,2007,0.28800000000000003
KS,2008,0.29600000000000004
KS,2009,0.295
KS,2010,0.298
KS,2011,0.301
KS,2012,0.304
KS,2013,0.311
KS,2014,0.315
KS,2015,0.317
KS,2016,0.328
KS,2017,0.337
KS,2018,0.338
KS,2019,0.34
KY,2006,0.2
KY,2007,0.2
KY,2008,0.197
