state_po,year,graduate_education_rate
AL,2006,0.077
AL,2007,0.08
AL,2008,0.077
AL,2009,0.077
AL,2010,0.08
AL,2011,0.084
AL,2012,0.086
AL,2013,0.087
AL,2014,0.08800000000000001
AL,2015,0.08800000000000001
AL,2016,0.094
AL,2017,0.096
AL,2018,0.095
AL,2019,0.1
AK,2006,0.095
AK,2007,0.099
AK,2008,0.097
AK,2009,0.09
AK,2010,0.094
AK,2011,0.095
AK,2012,0.109
AK,2013,0.098
AK,2014,0.096
AK,2015,0.11
AK,2016,0.106
AK,2017,0.108
AK,2018,0.117
AK,2019,0.117
AZ,2006,0.092
AZ,2007,0.092
AZ,2008,0.092
AZ,2009,0.093
AZ,2010,0.092
AZ,2011,0.095
AZ,2012,0.102
AZ,2013,0.103
AZ,2014,0.103
AZ,2015,0.103
AZ,2016,0.108
AZ,2017,0.11
AZ,2018,0.112
AZ,2019,0.113
AR,2006,0.062
AR,2007,0.065
AR,2008,0.063
AR,2009,0.061
AR,2010,0.063
AR,2011,0.07200000000000001
AR,2012,0.07200000000000001
AR,2013,0.07200000000000001
AR,2014,0.075
AR,2015,0.078
AR,2016,0.08199999999999999
AR,2017,0.084
AR,2018,0.086
AR,2019,0.083
CA,2006,0.104
CA,2007,0.105
CA,2008,0.108
CA,2009,0.107
CA,2010,0.11
CA,2011,0.111
CA,2012,0.113
CA,2013,0.115
CA,2014,0.118
CA,2015,0.12
CA,2016,0.123
CA,2017,0.126
CA,2018,0.129
CA,2019,0.131
CO,2006,0.124
CO,2007,0.125
CO,2008,0.127
CO,2009,0.127
CO,2010,0.13
CO,2011,0.134
CO,2012,0.13699999999999998
CO,2013,0.14
CO,2014,0.14300000000000002
CO,2015,0.145
CO,2016,0.149
CO,2017,0.152
CO,2018,0.157
CO,2019,0.16
CT,2006,0.14400000000000002
CT,2007,0.154
CT,2008,0.152
CT,2009,0.155
CT,2010,0.153
CT,2011,0.157
CT,2012,0.166
CT,2013,0.166
CT,2014,0.16699999999999998
CT,2015,0.16699999999999998
CT,2016,0.16699999999999998
CT,2017,0.173
CT,2018,0.17800000000000002
CT,2019,0.17800000000000002
DE,2006,0.105
DE,2007,0.104
DE,2008,0.108
DE,2009,0.114
DE,2010,0.113
DE,2011,0.117
DE,2012,0.114
DE,2013,0.126
DE,2014,0.123
DE,2015,0.129
DE,2016,0.126
DE,2017,0.135
DE,2018,0.131
DE,2019,0.13699999999999998
FL,2006,0.08900000000000001
FL,2007,0.08900000000000001
FL,2008,0.09
FL,2009,0.09
FL,2010,0.092
FL,2011,0.093
FL,2012,0.096
FL,2013,0.097
FL,2014,0.098
FL,2015,0.102
FL,2016,0.104
FL,2017,0.108
FL,2018,0.113
FL,2019,0.114
GA,2006,0.092
GA,2007,0.095
GA,2008,0.097
GA,2009,0.099
GA,2010,0.098
GA,2011,0.098
GA,2012,0.104
GA,2013,0.106
GA,2014,0.108
GA,2015,0.113
GA,2016,0.117
GA,2017,0.119
GA,2018,0.123
GA,2019,0.126
HI,2006,0.098
HI,2007,0.099
HI,2008,0.099
HI,2009,0.099
HI,2010,0.096
HI,2011,0.099
HI,2012,0.105
HI,2013,0.104
HI,2014,0.105
HI,2015,0.106
HI,2016,0.106
HI,2017,0.112
HI,2018,0.115
HI,2019,0.116
ID,2006,0.071
ID,2007,0.076
ID,2008,0.07400000000000001
ID,2009,0.075
ID,2010,0.077
ID,2011,0.078
ID,2012,0.08199999999999999
ID,2013,0.08199999999999999
ID,2014,0.083
ID,2015,0.08199999999999999
ID,2016,0.08900000000000001
ID,2017,0.085
ID,2018,0.09
ID,2019,0.099
IL,2006,0.108
IL,2007,0.11
IL,2008,0.112
IL,2009,0.117
IL,2010,0.115
IL,2011,0.117
IL,2012,0.12
IL,2013,0.124
IL,2014,0.127
IL,2015,0.127
IL,2016,0.13
IL,2017,0.134
IL,2018,0.14
