stcode,ABBcode,AnyCong,NoCong,EvanProt,Catholic,MainProt,Other,CongSession,YrElected,stateabbr,CDnum
1,AL01,51.936012,48.063988,33.998493,7.3368874,9.540637,1.0599947,106,1998,AL,1
1,AL07,51.217533,48.782467,35.125999,3.7142026,11.118737,1.2585938,106,1998,AL,7
1,AL04,62.458012,37.541988,53.217476,1.1385149,7.6595054,.44251549,106,1998,AL,4
1,AL03,50.339024,49.660976,40.197765,1.038515,8.5163336,.58640969,106,1998,AL,3
1,AL05,56.093952,43.906048,41.083546,3.5133197,10.518883,.97820401,106,1998,AL,5
1,AL02,54.962776,45.037224,41.577831,2.138103,10.295774,.9510684,106,1998,AL,2
1,AL06,55.741974,44.258026,38.158581,4.8294406,11.315989,1.437964,106,1998,AL,6
2,AK00,34.329559,65.670441,12.452706,8.6706371,5.9266396,7.2795763,106,1998,AK,0
4,AZ04,39.731438,60.268562,9.9861374,17.256163,4.8273048,7.6618328,106,1998,AZ,4
4,AZ01,39.731438,60.268562,9.9861364,17.256163,4.8273053,7.6618333,106,1998,AZ,1
4,AZ05,44.524353,55.475647,8.5889149,25.808842,4.5955167,5.5310798,106,1998,AZ,5
4,AZ03,35.587818,64.412186,9.5606775,15.13251,4.2547479,6.6398826,106,1998,AZ,3
4,AZ02,41.823307,58.176693,8.8205118,23.438429,4.1622462,5.4021201,106,1998,AZ,2
4,AZ06,39.397354,60.602646,9.8116779,16.754139,3.8425217,8.9890156,106,1998,AZ,6
5,AR02,57.323685,42.676315,39.809746,6.4622002,9.9392242,1.1125145,106,1998,AR,2
5,AR03,54.042149,45.957851,38.474712,5.8160195,8.6058369,1.1455798,106,1998,AR,3
5,AR04,60.52113,39.47887,48.333347,2.5761001,9.2293253,.38235688,106,1998,AR,4
5,AR01,57.320778,42.679222,47.311001,2.0099242,7.626029,.37382388,106,1998,AR,1
6,CA40,42.464302,57.535698,10.177148,26.518696,2.522918,3.2455404,106,1998,CA,40
6,CA04,32.208385,67.791611,9.5931826,14.865739,3.4495194,4.2999449,106,1998,CA,4
6,CA24,55.396008,44.603992,6.2786574,37.865513,3.6498504,7.6019869,106,1998,CA,24
6,CA32,58.079819,41.920181,6.1753669,39.985733,3.5633361,8.3553829,106,1998,CA,32
6,CA09,34.948307,65.051697,4.929347,21.225208,3.2614577,5.5322943,106,1998,CA,9
6,CA20,45.583633,54.416367,11.386787,28.448837,3.5076859,2.2403228,106,1998,CA,20
6,CA41,47.857647,52.142353,8.5370188,30.997885,3.0227175,5.3000259,106,1998,CA,41
6,CA42,41.996651,58.003349,10.213907,26.070324,2.459352,3.2530675,106,1998,CA,42
6,CA08,41.826729,58.173271,3.3431051,23.276726,4.8888102,10.318088,106,1998,CA,8
6,CA30,58.079815,41.920185,6.1753664,39.985733,3.5633361,8.3553791,106,1998,CA,30
6,CA46,44.7808,55.2192,7.9595571,27.391703,3.8712864,5.5582538,106,1998,CA,46
6,CA38,58.079815,41.920185,6.1753659,39.985729,3.5633359,8.3553839,106,1998,CA,38
6,CA18,45.673519,54.326481,11.832736,28.14662,3.2060058,2.4881575,106,1998,CA,18
6,CA52,47.903442,52.096558,6.2922888,34.411289,3.1861458,4.0137186,106,1998,CA,52
6,CA06,32.297592,67.702408,4.166245,18.639236,3.5550995,5.9370112,106,1998,CA,6
6,CA15,42.428196,57.571804,5.4007697,28.048313,3.1857488,5.7933645,106,1998,CA,15
6,CA31,58.079815,41.920185,6.1753659,39.985729,3.5633359,8.3553839,106,1998,CA,31
6,CA25,58.079811,41.920189,6.1753659,39.985733,3.5633359,8.3553762,106,1998,CA,25
6,CA21,46.244415,53.755585,13.016685,27.656055,3.2509131,2.3207612,106,1998,CA,21
6,CA22,50.964573,49.035427,7.6182089,35.970825,3.6865888,3.6889501,106,1998,CA,22
6,CA45,44.7808,55.2192,7.9595571,27.391703,3.8712864,5.5582538,106,1998,CA,45
6,CA17,43.747227,56.252773,4.7750754,32.936817,2.9752789,3.0600553,106,1998,CA,17
6,CA51,43.714851,56.285149,5.942677,29.494749,3.5081685,4.7692566,106,1998,CA,51
6,CA28,58.079815,41.920185,6.1753659,39.985729,3.5633359,8.3553839,106,1998,CA,28
6,CA39,49.041283,50.958717,7.3879724,31.426334,3.7726309,6.4543447,106,1998,CA,39
6,CA49,43.714851,56.285149,5.942677,29.494749,3.5081682,4.7692571,106,1998,CA,49
6,CA01,35.845062,64.154938,8.32687,20.366095,4.1620016,2.9900961,106,1998,CA,1
6,CA16,43.252018,56.747982,5.3958044,28.710526,3.2459579,5.8997302,106,1998,CA,16
6,CA33,58.079815,41.920185,6.1753659,39.985729,3.5633359,8.3553839,106,1998,CA,33
6,CA43,43.018543,56.981457,8.0953188,28.241468,2.5498466,4.1319094,106,1998,CA,43
6,CA05,36.936607,63.063393,9.5803108,18.329807,3.9614255,5.0650635,106,1998,CA,5
6,CA44,43.018543,56.981457,8.0953178,28.241468,2.5498466,4.1319103,106,1998,CA,44
6,CA19,45.315514,54.684486,10.963729,28.001757,3.9389951,2.4110329,106,1998,CA,19
6,CA11,37.919292,62.080708,7.6916709,23.332624,3.7941108,3.1008863,106,1998,CA,11
6,CA13,35.853741,64.146255,4.9802094,22.041405,3.2597675,5.5723591,106,1998,CA,13
6,CA10,37.555386,62.444614,6.8595977,21.412231,3.9092388,5.3743176,106,1998,CA,10
6,CA37,58.079819,41.920181,6.1753664,39.985733,3.5633359,8.3553829,106,1998,CA,37
6,CA02,26.493959,73.506042,9.7893848,9.9269981,3.2116215,3.5659549,106,1998,CA,2
6,CA47,44.7808,55.2192,7.9595575,27.391703,3.8712866,5.5582533,106,1998,CA,47
6,CA35,58.079815,41.920185,6.1753659,39.985729,3.5633359,8.3553839,106,1998,CA,35
6,CA23,44.817547,55.182453,6.6955981,29.577993,3.992837,4.5511184,106,1998,CA,23
6,CA07,38.525707,61.474293,7.8168945,21.433453,4.5639906,4.7113695,106,1998,CA,7
6,CA36,58.079819,41.920181,6.1753669,39.985733,3.5633361,8.3553829,106,1998,CA,36
6,CA29,58.079815,41.920185,6.1753664,39.985733,3.5633361,8.3553791,106,1998,CA,29
6,CA03,34.243378,65.756622,8.3480129,18.064819,3.8809443,3.9496012,106,1998,CA,3
6,CA34,58.079819,41.920181,6.1753664,39.985733,3.5633359,8.3553829,106,1998,CA,34
6,CA12,41.846157,58.153843,2.8878884,27.607643,4.2928867,7.0577388,106,1998,CA,12
6,CA14,42.681065,57.318935,4.3070335,28.881428,3.5877695,5.9048338,106,1998,CA,14
6,CA27,58.079815,41.920185,6.1753659,39.985729,3.5633359,8.3553839,106,1998,CA,27
6,CA26,58.079815,41.920185,6.1753664,39.985729,3.5633359,8.3553829,106,1998,CA,26
6,CA48,44.11385,55.88615,6.9956584,28.481922,3.5821524,5.0541167,106,1998,CA,48
6,CA50,43.714855,56.285145,5.9426765,29.494749,3.5081685,4.7692614,106,1998,CA,50
8,CO06,35.832775,64.167221,11.894568,14.646828,5.773562,3.517817,106,1998,CO,6
8,CO05,34.785191,65.214813,13.394831,11.201647,6.9937773,3.1949358,106,1998,CO,5
8,CO04,40.304169,59.695831,12.44791,16.439095,8.5591307,2.8580332,106,1998,CO,4
8,CO03,38.814831,61.185169,9.2240658,19.740826,5.7852068,4.0647326,106,1998,CO,3
8,CO02,38.373615,61.626385,9.1252337,17.748714,6.2748003,5.2248669,106,1998,CO,2
8,CO01,49.657635,50.342365,7.0797777,26.472931,7.8093815,8.2955446,106,1998,CO,1
9,CT06,55.947369,44.052631,2.5806415,37.255966,12.261465,3.8492959,106,1998,CT,6
9,CT04,70.137115,29.862885,2.5663774,49.155701,10.859686,7.5553513,106,1998,CT,4
9,CT05,60.925369,39.074631,2.2160041,43.315331,8.897459,6.4965754,106,1998,CT,5
9,CT02,47.843327,52.156673,2.3254099,33.953392,9.6562929,1.9082317,106,1998,CT,2
9,CT03,55.24073,44.75927,1.9735612,39.675274,7.941452,5.6504431,106,1998,CT,3
9,CT01,56.929089,43.070911,2.7851677,38.236004,11.221608,4.6863089,106,1998,CT,1
10,DE00,40.5975,59.4025,5.1567125,19.364471,12.900715,3.175601,106,1998,DE,0
12,FL11,41.786461,58.213539,15.959589,16.629694,6.1667876,3.0303903,106,1998,FL,11
12,FL03,41.567139,58.432861,21.466963,10.330414,7.6962633,2.0734987,106,1998,FL,3
12,FL07,37.408081,62.591919,13.098701,15.617583,6.5529928,2.1388044,106,1998,FL,7
12,FL15,39.964527,60.035473,13.197552,17.09535,7.6463714,2.0252538,106,1998,FL,15
12,FL23,48.624775,51.375225,8.6169777,23.021605,3.6423521,13.343841,106,1998,FL,23
12,FL02,38.76075,61.23925,26.650076,3.4600456,7.1250424,1.5255859,106,1998,FL,2
12,FL21,39.626747,60.373253,7.0140529,24.096615,2.2090104,6.3070688,106,1998,FL,21
12,FL10,35.194828,64.805176,9.9057827,12.15835,8.6318569,4.4988384,106,1998,FL,10
12,FL05,35.624775,64.375229,13.971827,13.59118,6.6624017,1.3993669,106,1998,FL,5
12,FL01,44.518364,55.481636,28.012291,6.7066145,8.5187759,1.2806826,106,1998,FL,1
12,FL09,36.003609,63.996391,11.465145,14.405642,6.9060574,3.2267647,106,1998,FL,9
12,FL16,46.630348,53.369652,10.53645,22.484966,5.6624904,7.9464412,106,1998,FL,16
12,FL14,37.480782,62.519218,10.195605,17.95702,7.1533394,2.1748171,106,1998,FL,14
12,FL04,42.381405,57.618595,21.635405,10.825343,7.9058762,2.014781,106,1998,FL,4
12,FL20,43.607437,56.392563,7.6788054,20.86113,2.8192329,12.248269,106,1998,FL,20
12,FL17,39.626743,60.373257,7.0140529,24.096617,2.2090106,6.3070631,106,1998,FL,17
12,FL22,46.308609,53.691391,7.8697362,23.269428,3.0222619,12.147182,106,1998,FL,22
12,FL08,39.002716,60.997284,16.810188,12.999261,6.8862147,2.3070521,106,1998,FL,8
12,FL18,39.626747,60.373253,7.0140529,24.096617,2.2090104,6.3070669,106,1998,FL,18
12,FL12,41.837505,58.162495,24.150278,9.8734989,6.5718369,1.2418914,106,1998,FL,12
12,FL13,41.505032,58.494968,12.190666,17.01894,8.8577938,3.4376316,106,1998,FL,13
12,FL06,37.497173,62.502827,20.494129,8.5240698,7.4382482,1.0407262,106,1998,FL,6
12,FL19,51.076035,48.923965,8.4935722,23.914429,3.7450879,14.922946,106,1998,FL,19
13,GA10,39.741104,60.258896,27.317537,2.3748076,9.0606928,.98806643,106,1998,GA,10
13,GA07,47.244362,52.755638,33.439312,3.8210809,8.730978,1.252991,106,1998,GA,7
13,GA01,42.289429,57.710571,26.089317,4.3373365,10.455231,1.4075441,106,1998,GA,1
13,GA06,48.103741,51.896259,22.653423,8.7188559,11.987204,4.7442579,106,1998,GA,6
13,GA11,40.937183,59.062817,24.206619,4.7917604,10.244438,1.6943655,106,1998,GA,11
13,GA08,48.608276,51.391724,36.473747,1.8098674,8.9864225,1.3382392,106,1998,GA,8
13,GA09,45.811081,54.188919,35.186565,3.0169961,7.112174,.49534535,106,1998,GA,9
13,GA04,36.237175,63.762825,18.915503,5.8167038,9.8302174,1.6747513,106,1998,GA,4
13,GA02,44.340031,55.659969,32.526844,1.7418725,9.3465176,.72479653,106,1998,GA,2
13,GA03,45.047997,54.952003,29.428883,4.2642188,9.4815722,1.873323,106,1998,GA,3
13,GA05,54.54464,45.45536,20.736286,8.1748838,15.891286,9.7421837,106,1998,GA,5
15,HI02,38.765739,61.234261,8.3903255,21.935514,4.1957302,4.2441692,106,1998,HI,2
15,HI01,33.319752,66.680252,7.8455205,17.548815,3.7826598,4.1427565,106,1998,HI,1
16,ID01,38.286732,61.713268,10.919974,10.909155,5.4774003,10.980202,106,1998,ID,1
16,ID02,60.584484,39.415516,6.6172919,9.1651831,4.5805855,40.221424,106,1998,ID,2
17,IL07,57.627338,42.372662,5.0200295,39.930523,5.3401866,7.3365993,106,1998,IL,7
17,IL20,55.750034,44.249966,23.885069,17.019117,13.958314,.88753414,106,1998,IL,20
17,IL03,57.627346,42.372654,5.02003,39.930527,5.3401866,7.3366027,106,1998,IL,3
17,IL17,51.509613,48.490387,11.864073,16.386,22.164528,1.0950127,106,1998,IL,17
17,IL05,57.627342,42.372658,5.0200295,39.930527,5.3401866,7.3365993,106,1998,IL,5
17,IL12,48.832962,51.167038,19.009695,17.3913,11.144264,1.2877026,106,1998,IL,12
17,IL15,46.709736,53.290264,17.040237,11.665547,17.026608,.97734356,106,1998,IL,15
17,IL11,55.219879,44.780121,7.5054951,36.723106,8.4697084,2.5215693,106,1998,IL,11
17,IL06,58.457447,41.542553,7.0900464,39.081711,7.9304147,4.3552752,106,1998,IL,6
17,IL14,55.195141,44.804859,9.2060146,32.057816,12.463641,1.4676695,106,1998,IL,14
17,IL19,53.915421,46.084579,31.086138,9.1044397,13.156511,.56833172,106,1998,IL,19
17,IL09,57.627346,42.372654,5.0200295,39.930527,5.3401866,7.3366032,106,1998,IL,9
17,IL08,58.263779,41.736221,6.0034251,39.657436,6.2400937,6.3628235,106,1998,IL,8
17,IL13,57.063877,42.936123,7.2055774,38.95607,7.836144,3.0660858,106,1998,IL,13
17,IL10,58.513367,41.486633,6.3890848,39.550331,6.5930123,5.9809384,106,1998,IL,10
17,IL16,50.402561,49.597439,9.744072,24.916922,14.774866,.96670151,106,1998,IL,16
17,IL02,57.627346,42.372654,5.02003,39.930527,5.3401866,7.3366027,106,1998,IL,2
17,IL18,51.660915,48.339085,18.025446,16.06148,16.141792,1.4321976,106,1998,IL,18
17,IL01,57.627342,42.372658,5.02003,39.930527,5.3401866,7.3365989,106,1998,IL,1
17,IL04,57.627342,42.372658,5.02003,39.930527,5.3401866,7.3365989,106,1998,IL,4
18,IN07,38.20768,61.79232,15.504526,8.774827,12.596435,1.331892,106,1998,IN,7
18,IN08,44.666809,55.333191,17.085436,13.066429,13.396477,1.1184673,106,1998,IN,8
18,IN06,40.925423,59.074577,15.820785,12.760869,11.061706,1.2820635,106,1998,IN,6
18,IN05,42.002766,57.997234,17.177547,10.633296,13.385082,.80683994,106,1998,IN,5
18,IN10,40.292912,59.707088,14.708282,12.683653,10.558146,2.3428307,106,1998,IN,10
18,IN09,51.269451,48.730549,18.202608,17.122746,15.220208,.72388935,106,1998,IN,9
18,IN04,47.021969,52.978031,19.987961,13.66856,12.62211,.74333763,106,1998,IN,4
18,IN03,41.646358,58.353642,14.453392,16.915056,8.9411774,1.3367329,106,1998,IN,3
18,IN02,39.122536,60.877464,16.295567,7.1934652,14.929227,.70427704,106,1998,IN,2
18,IN01,44.064018,55.935982,10.412892,25.093588,5.8964548,2.6610832,106,1998,IN,1
19,IA03,49.675774,50.324226,12.325467,10.436938,25.981829,.93153954,106,1998,IA,3
19,IA05,72.705399,27.294601,17.119431,19.349451,35.678162,.55835533,106,1998,IA,5
19,IA04,49.386257,50.613743,11.615174,14.400878,22.007046,1.3631592,106,1998,IA,4
19,IA01,50.252468,49.747532,8.8472548,19.865957,19.666731,1.8725252,106,1998,IA,1
19,IA02,72.07576,27.92424,8.863739,31.764221,30.792801,.65499878,106,1998,IA,2
20,KS03,44.694397,55.305603,11.693752,17.7749,12.441969,2.7837753,106,1998,KS,3
20,KS01,58.913868,41.086132,17.432985,16.814407,23.883663,.78281212,106,1998,KS,1
20,KS04,49.83041,50.16959,19.980162,12.703985,15.537369,1.6088943,106,1998,KS,4
20,KS02,44.738544,55.261456,13.693676,12.843951,17.131132,1.0697851,106,1998,KS,2
21,KY05,42.247795,57.752205,36.684181,.82312012,4.4661202,.27437353,106,1998,KY,5
21,KY01,62.836903,37.163097,47.841763,3.7894466,10.718369,.487324,106,1998,KY,1
21,KY02,57.797756,42.202244,36.805775,12.826689,7.4486222,.71667051,106,1998,KY,2
21,KY03,54.604931,45.395069,21.546301,22.62804,8.2103043,2.2202854,106,1998,KY,3
21,KY06,51.35619,48.64381,32.291855,5.767107,12.057873,1.2393551,106,1998,KY,6
21,KY04,51.667149,48.332851,26.718904,14.773029,9.4483318,.72688293,106,1998,KY,4
22,LA07,75.076538,24.923462,14.626844,55.724815,4.2332273,.49165106,106,1998,LA,7
