District,Urban,Suburban,Rural,Urban %,Suburban %,Rural %,Most Prevalent
U.S.A.,"83,171,109","169,710,405","68,122,772",25.9,52.9,21.2,Suburban
Alabama,"967,111","2,004,018","1,879,647",19.9,41.3,38.7,Suburban
AL-01,"148,964","302,147","255,481",21.1,42.8,36.2,Suburban
AL-02,"146,722","253,542","281,148",21.5,37.2,41.3,Rural
AL-03,"118,205","273,994","316,656",16.7,38.7,44.7,Rural
AL-04,"80,990","215,267","384,141",11.9,31.6,56.5,Rural
AL-05,"113,578","354,082","241,316",16.0,49.9,34.0,Suburban
AL-06,"89,189","391,990","212,694",12.9,56.5,30.7,Suburban
AL-07,"269,463","212,996","188,212",40.2,31.8,28.1,Urban
Alaska,"162,281","367,243","209,041",22.0,49.7,28.3,Suburban
AK-AL,"162,281","367,243","209,041",22.0,49.7,28.3,Suburban
Arizona,"1,859,473","4,038,989","911,472",27.3,59.3,13.4,Suburban
AZ-01,"104,023","305,131","330,763",14.1,41.2,44.7,Rural
AZ-02,"263,170","366,262","85,454",36.8,51.2,12.0,Suburban
AZ-03,"259,345","372,872","114,222",34.7,50.0,15.3,Suburban
AZ-04,"116,053","390,308","239,797",15.6,52.3,32.1,Suburban
AZ-05,"128,703","616,129","37,793",16.4,78.7,4.8,Suburban
AZ-06,"204,512","529,253","27,832",26.9,69.5,3.7,Suburban
AZ-07,"375,357","394,929","15,805",47.7,50.2,2.0,Suburban
AZ-08,"138,358","578,732","54,973",17.9,75.0,7.1,Suburban
AZ-09,"269,952","485,372","4,834",35.5,63.9,0.6,Suburban
Arkansas,"596,803","1,116,106","1,265,033",20.0,37.5,42.5,Rural
AR-01,"124,804","226,387","371,888",17.3,31.3,51.4,Rural
AR-02,"195,785","349,342","211,981",25.9,46.1,28.0,Suburban
AR-03,"166,789","359,410","253,946",21.4,46.1,32.6,Suburban
AR-04,"109,425","180,967","427,218",15.2,25.2,59.5,Rural
California,"12,792,442","23,249,186","2,941,224",32.8,59.6,7.5,Suburban
CA-01,"111,578","295,662","296,639",15.9,42.0,42.1,Rural
CA-02,"82,637","437,090","200,339",11.5,60.7,27.8,Suburban
CA-03,"160,076","442,818","134,815",21.7,60.0,18.3,Suburban
CA-04,"59,088","408,946","257,432",8.1,56.4,35.5,Suburban
CA-05,"149,577","508,370","62,971",20.7,70.5,8.7,Suburban
CA-06,"258,416","471,768","9,027",35.0,63.8,1.2,Suburban
CA-07,"111,136","600,940","25,170",15.1,81.5,3.4,Suburban
CA-08,"91,872","424,348","200,067",12.8,59.2,27.9,Suburban
CA-09,"205,806","475,698","74,164",27.2,63.0,9.8,Suburban
CA-10,"130,301","534,248","69,660",17.7,72.8,9.5,Suburban
CA-11,"170,103","574,905","12,263",22.5,75.9,1.6,Suburban
CA-12,"673,832","70,960","1,096",90.3,9.5,0.1,Urban
CA-13,"463,710","280,967","4,970",61.9,37.5,0.7,Urban
CA-14,"247,343","501,575","9,626",32.6,66.1,1.3,Suburban
CA-15,"123,868","621,119","12,971",16.3,81.9,1.7,Suburban
CA-16,"260,486","358,770","107,342",35.9,49.4,14.8,Suburban
CA-17,"230,298","531,686","4,850",30.0,69.3,0.6,Suburban
CA-18,"148,618","533,890","52,342",20.2,72.7,7.1,Suburban
CA-19,"316,999","422,357","18,482",41.8,55.7,2.4,Suburban
CA-20,"227,721","392,851","114,064",31.0,53.5,15.5,Suburban
CA-21,"216,071","364,601","133,432",30.3,51.1,18.7,Suburban
CA-22,"202,087","458,703","88,822",27.0,61.2,11.8,Suburban
CA-23,"141,659","451,813","141,390",19.3,61.5,19.2,Suburban
CA-24,"162,538","449,382","118,312",22.3,61.5,16.2,Suburban
CA-25,"98,413","546,635","74,316",13.7,76.0,10.3,Suburban
CA-26,"118,151","553,295","58,618",16.2,75.8,8.0,Suburban
CA-27,"203,692","499,582","9,377",28.6,70.1,1.3,Suburban
CA-28,"409,816","312,185","5,097",56.4,42.9,0.7,Urban
CA-29,"436,630","271,061","13,972",60.5,37.6,1.9,Urban
CA-30,"329,664","422,353","4,541",43.6,55.8,0.6,Suburban
CA-31,"156,102","563,489","21,231",21.1,76.1,2.9,Suburban
CA-32,"245,429","467,111","13,087",33.8,64.4,1.8,Suburban
CA-33,"265,346","425,437","15,944",37.5,60.2,2.3,Suburban
